"","Galium_spurium","Galium_eriocarpum","Galium_propinquum","Galium_sterneri","Galium_nuttallii","Galium_porrigens","Galium_angustifolium","Galium_boreale","Galium_trifidum","Galium_mexicanum","Galium_mollugo","Galium_verum","Galium_sylvaticum","Galium_aparine","Galium_saxatile","Galium_parisiense","Galium_murale","Galium_uliginosum","Galium_triflorum","Cruciata_glabra","Sherardia_arvensis","Asperula_molluginoides","Crucianella_gilanica","Rubia_cordifolia","Rubia_peregrina","Kelloggia_galioides","Coprosma_propinqua","Coprosma_repens","Coprosma_quadrifida","Nertera_dichondrifolia","Nertera_granadensis","Richardia_stellaris","Spermacoce_brachystema","Spermacoce_leptoloba","Spermacoce_breviflora","Psychotria_brachypoda","Psychotria_papantlensis","Psychotria_suterella","Psychotria_grandis","Psychotria_loniceroides","Psychotria_serpens","Palicourea_acuminata","Notopleura_macrophylla","Faramea_luteovirens","Coussarea_suaveolens","Atractocarpus_sessilis","Tocoyena_pittieri","Randia_pterocarpa","Randia_thurberi","Randia_armata","Alibertia_edulis","Coffea_canephora","Coffea_racemosa","Coffea_congensis","Cyclophyllum_coprosmoides","Ixora_congesta","Ixora_peruviana","Calycophyllum_candidissimum","Pentagonia_macrophylla","Nauclea_officinalis","Guettarda_tikalana","Guettarda_aromatica","Guettarda_uruguensis","Timonius_wallichianus","Hintonia_latiflora","Macrocnemum_roseum","Asclepias_vestita","Asclepias_speciosa","Asclepias_oenotheroides","Asclepias_eriocarpa","Asclepias_tuberosa","Asclepias_syriaca","Asclepias_verticillata","Asclepias_fascicularis","Mandevilla_benthamii","Nerium_oleander","Lacmellea_panamensis","Plumeria_rubra","Carissa_macrocarpa","Alstonia_angustiloba","Alstonia_spectabilis","Alstonia_actinophylla","Fagraea_berteroana","Chironia_linoides","Eustoma_exaltatum","Gentianella_campestris","Gentianella_germanica","Swertia_pseudochinensis","Swertia_bimaculata","Gentiana_clusii","Gentiana_lutea","Gentiana_sceptrum","Gentiana_andrewsii","Gentiana_affinis","Gentiana_utriculosa","Gentiana_triflora","Gentiana_pneumonanthe","Centaurium_pulchellum","Blackstonia_perfoliata","Geniostoma_rupestre"
"Galium_mollugo",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.707582,0,1.9662,2.10957,4.638522,4.808044,4.808044,4.808044,4.861554,5.468018,12.89551,13.736098,13.736098,13.736098,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_verum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.9662,1.9662,0,2.10957,4.638522,4.808044,4.808044,4.808044,4.861554,5.468018,12.89551,13.736098,13.736098,13.736098,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_sylvaticum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,2.10957,2.10957,2.10957,0,4.638522,4.808044,4.808044,4.808044,4.861554,5.468018,12.89551,13.736098,13.736098,13.736098,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_aparine",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.638522,4.638522,4.638522,4.638522,0,4.808044,4.808044,4.808044,4.861554,5.468018,12.89551,13.736098,13.736098,13.736098,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_saxatile",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,4.808044,4.808044,0,3.839764,3.839764,4.861554,5.468018,12.89551,13.736098,13.736098,13.736098,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_parisiense",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,4.808044,4.808044,3.839764,0,0.565352,4.861554,5.468018,12.89551,13.736098,13.736098,13.736098,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_murale",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,4.808044,4.808044,3.839764,0.565352,0,4.861554,5.468018,12.89551,13.736098,13.736098,13.736098,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_uliginosum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.861554,4.861554,4.861554,4.861554,4.861554,4.861554,4.861554,4.861554,0,5.468018,12.89551,13.736098,13.736098,13.736098,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_triflorum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,5.468018,5.468018,5.468018,5.468018,5.468018,5.468018,5.468018,5.468018,5.468018,0,12.89551,13.736098,13.736098,13.736098,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Cruciata_glabra",12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,0,13.736098,13.736098,13.736098,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Sherardia_arvensis",13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,0,12.191942,12.191942,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Asperula_molluginoides",13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,12.191942,0,9.58422,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Crucianella_gilanica",13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,12.191942,9.58422,0,16.378018,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
