"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110"
"t67",-0.0690256766230291,-0.0637318209436239,-0.00368591862274872,0.109703122717472,0.189563625354428,-0.115360343434228,-0.0330155229033243,-0.0222426364583512,0.00531278369338533,-0.000769217941988866,-1.19699846424681e-05,-0.000133291738552407,-5.58284062996777e-05,-0.00360932502588551,-3.26227741492717e-05,0.00166317856444441,-1.26556038099879e-05,-0.000333426202320771,0.592625112076775,-0.000240166676530681,-0.080706658978153,-0.00981345891949963,4.74994511450092e-06,-1.92020793814332e-05,-8.46343270264741e-17,-0.00465406314571857,0.00331135266314983,0.178799087887252,1.47327344092854e-05,-0.0082397787689684,0.107510464203534,-0.129022639414424,-0.00568627361414886,-0.0170858427927309,1.54974001514893e-07,-0.000304451796166054,0.000956931613735763,-0.0010952047623776,0.0166964930382389,-1.6081602874167e-05,-1.49858588300853e-05,5.27165196086329e-07,6.35481089806051e-05,4.29816847600984e-05,-3.91586461248662e-05,-0.000548866185227386,-0.000941382012294445,-0.00814171280455355,0.000648738093937967,-0.0025611050251421,-2.79319168644909e-15,9.38668906542782e-05,0.000474349204987504,-0.001084170404626,-0.000113251801289249,-0.0197377392533422,-5.03178178184912e-06,0.000732306264276445,-0.00026476619844418,-2.93606076338654e-05,5.31676826016224e-05,1.6183231803388e-07,-6.02056361687213e-05,-0.00113566697750026,5.5375713192411e-05,6.67117985407205e-17,9.97031914745835e-16,-5.74887779127486e-16,-4.70409719014624e-05,1.31611325291525e-05,0.00023584265900942,-7.34647133997619e-16,-1.02191920164127e-15,2.52799657042012e-05,2.04020459116543e-05,-4.70765603949764e-05,-1.49415723020644e-06,-1.92623588156925e-14,0.000363652487560783,8.61067548748922e-16,-5.55727468983384e-15,-6.07914917298933e-05,-3.82768275310285e-14,-0.707106781186547,-2.76691348443186e-13,-3.51885158230848e-06,1.07047758563532e-14,1.32367770640081e-05,2.51723814718965e-14,-1.0808807390491e-05,-1.07142700659849e-14,-0.000571848892107019,-2.41427838112832e-15,-9.06581780090154e-15,-3.48563553803896e-15,5.43341068507336e-15,-1.93350945912869e-15,-5.54226389162251e-15,-1.28637712697679e-14,6.33760360916067e-15,6.06390727553656e-06,9.0848300529787e-09,2.92761594857194e-14,6.84439100477561e-15,-2.02088176412416e-15,5.65175861944804e-15,4.87414267548085e-15,1.00315379074228e-15,5.49279015893068e-14,-0.0953462589245594
"t68",-0.0690256766230291,-0.0637318209436239,-0.00368591862274874,0.109703122717472,0.189563625354428,-0.115360343434228,-0.0330155229033244,-0.0222426364583511,0.0053127836933853,-0.000769217941988793,-1.19699846424648e-05,-0.000133291738552212,-5.58284062996058e-05,-0.00360932502588559,-3.26227741491933e-05,0.00166317856444456,-1.26556038113052e-05,-0.000333426202320815,0.592625112076775,-0.000240166676529637,-0.0807066589781529,-0.00981345891949964,4.74994511414526e-06,-1.92020793823044e-05,-2.78060430402091e-16,-0.00465406314571834,0.00331135266315005,0.178799087887251,1.47327344094231e-05,-0.00823977876896719,0.107510464203533,-0.129022639414424,-0.00568627361414931,-0.0170858427927289,1.54974002388494e-07,-0.000304451796165731,0.000956931613734381,-0.00109520476237743,0.016696493038239,-1.60816028735728e-05,-1.49858588288336e-05,5.27165198068877e-07,6.35481089830208e-05,4.29816847591532e-05,-3.91586461240224e-05,-0.000548866185226438,-0.000941382012293141,-0.00814171280455311,0.000648738093936567,-0.00256110502514463,2.25832307559539e-15,9.38668906557738e-05,0.000474349204986766,-0.00108417040462859,-0.000113251801285183,-0.0197377392533431,-5.03178178170561e-06,0.000732306264276247,-0.000264766198441285,-2.93606076341393e-05,5.31676826045893e-05,1.61832318033664e-07,-6.02056361675517e-05,-0.00113566697749687,5.53757131927392e-05,-1.72055189507947e-16,-6.19406018049946e-16,6.2420613700077e-16,-4.70409719063454e-05,1.31611325440844e-05,0.000235842659004001,9.73962954369145e-16,4.01578433137183e-16,2.52799657091857e-05,2.04020459087937e-05,-4.70765603967276e-05,-1.49415723620087e-06,2.03101531182905e-14,0.000363652487544228,-1.81107445617254e-16,5.45944100714039e-15,-6.07914917620875e-05,3.75167105813502e-14,0.707106781186547,2.77489017902782e-13,-3.5188514187015e-06,-1.07629841491591e-14,1.32367770446781e-05,-2.5757256363856e-14,-1.08088074034128e-05,1.18000616882571e-14,-0.000571848892146259,4.23895526093542e-15,1.05018630081168e-14,2.43545710020095e-15,-5.97341289179279e-15,1.91740251036521e-15,3.008767131136e-18,1.55926326301198e-14,-7.26745552768213e-15,6.06390727467729e-06,9.08481801939793e-09,-3.11893619927521e-14,-4.88360035156339e-15,3.2748480405187e-16,-2.87075170805945e-15,-2.72261452261977e-15,8.36017103690577e-15,5.30400866746505e-14,-0.0953462589245571
"t9",-0.0642745313463578,-0.0505217086770505,-0.00277389079854147,0.0787573390454048,-0.0307991314451814,-0.00179827878886091,0.0162656015517764,0.0150015321332017,3.6900803385377e-05,0.00195691049010737,0.000278359363166131,0.00457701550714296,-0.00105307507915134,-0.0330541109156313,-5.70506201968723e-05,0.00207679362702618,-1.03692086277828e-05,-0.000173696082426907,0.0428669299100676,2.59480424062757e-05,0.0333073874116428,0.00501453073104054,-3.05495589895535e-06,1.54357089986068e-05,7.97625212848467e-17,0.00405882576309184,-0.00279835200420898,-0.029553383640399,-4.92262328021613e-05,0.0203349851199852,-0.126998044551083,0.0952965511342263,-0.012292340458035,-0.22190077055403,-1.8808339091342e-06,0.0080735638272219,-0.0303823366863634,0.0570451761915335,-0.930492452566846,0.00234018283567497,0.00317455664077338,0.000215217306437632,0.00161115240695158,0.00101897523271417,-0.000862289901650289,-0.0119714954657027,-0.0689173730226294,-0.135901975527514,0.0107004024380002,-0.038185196895017,-1.11111392918642e-15,0.00130233663562418,0.00628868658189769,-0.034639234170211,-0.00107243837331638,-0.0085484934725973,-6.1822974133518e-05,0.00898166740276042,-0.00305495332904814,-0.000313343986025064,0.00121678179694075,1.59511560736751e-06,-0.00196465813539165,-0.0106318026215298,0.000508687709055155,2.07423395326519e-16,4.1229903803536e-16,-1.56656003356072e-17,-0.000342689818427046,9.55809974596683e-05,0.00483001991595391,3.47411818605007e-16,-1.81887708149737e-16,0.00016805364398431,0.000134433473989376,-0.000305823148305073,-9.54552236210257e-06,3.70779073559508e-16,0.00224311010958057,-9.10808648812787e-17,-1.03609352078685e-16,-0.000358192758362608,-1.5500460667237e-15,4.4189457828273e-16,-2.55208501164295e-17,-1.97357418365428e-05,-7.9740966208552e-17,7.31238640868628e-05,-3.61844503031259e-16,-5.85516844509899e-05,4.29125162878732e-17,-0.000214215702531683,8.139088849249e-16,5.40632049441182e-16,-3.35684806986147e-16,-1.22708273823189e-16,-7.76784990346148e-17,-2.56565847394723e-15,1.0721095690028e-15,-5.22958963267621e-16,8.19970874846119e-05,4.7624389723693e-08,-4.34425824108179e-16,1.000042904729e-15,-1.01047159628225e-15,1.77404102069776e-15,1.09313929044118e-15,4.5346490786988e-15,5.40873645381524e-14,-0.0953462589245549
"t16",-0.0691628439683969,-0.0658634307843807,-0.00390015816024076,0.120075142484762,-0.129756215104547,-0.0129079368027687,-0.0426567122657523,-0.0367378454621755,-5.18892396091215e-05,0.000102683010891785,8.38619088084635e-05,0.00144703640295725,-0.000451133914857843,-0.0838643836896153,2.09673030519506e-05,3.40084932017285e-05,-1.72759033347547e-06,-4.32366844994898e-05,0.0154588893227903,1.0499662713647e-05,0.0160767172847604,0.00255867547955527,-1.68357845211485e-06,9.45705437439943e-06,-1.95476005086991e-16,0.00263532030237049,-0.00215848662338299,-0.0246510082018664,-4.41843651670207e-05,0.0186505495807252,-0.157763103591799,0.135843451779016,-0.0277381804484504,-0.89454103943331,-3.30985010328973e-05,-0.00952536785030904,0.0172491379384376,-0.0188276650515824,0.292358007310831,-0.000476023351785531,-0.000591085640418671,-2.91585916520113e-05,7.03530725925132e-05,5.82192090310153e-05,-6.83356236299453e-05,-0.00100214174114959,-0.0891370590931863,-0.00825046950408543,0.000698294214502678,-0.00350630428463453,2.27865474778016e-15,0.000138621680027666,0.000765382742960944,-0.00435938715231763,-0.000136871370661116,-0.00128377706381766,-1.0148092553726e-05,0.00147525404604143,-0.000515312210912459,-5.54550924739455e-05,0.000220562562900328,3.03446304313895e-07,-0.00340444042742913,-0.00208301063991438,0.000101346210132723,1.39190604635924e-16,-4.21652715350294e-16,-1.80500215214917e-16,-8.43303222542588e-05,2.36422582621979e-05,0.00868648625499086,-7.74770060833825e-17,-3.50479622486485e-16,4.3525954403608e-05,3.50835426437914e-05,-8.07625929320505e-05,-2.55524043373185e-06,1.27248869820585e-15,0.0006172760985794,3.71682590957776e-16,2.33953469248825e-16,-0.000102072221514284,1.06811695292162e-15,1.42281673460657e-15,1.96411055832862e-16,-5.83285891503586e-06,-7.39540358587394e-17,2.18433280249744e-05,-5.65078606868739e-17,-1.75669122334161e-05,-2.79456533195929e-16,-6.42853353476127e-05,7.42569305426261e-16,7.41560115156185e-16,-5.92972047429662e-16,-9.82270214544984e-17,1.02032562404931e-16,-2.76353899502677e-15,9.60201775939607e-16,-2.74819576955715e-16,0.00015146600904605,1.47808655066977e-08,1.34637545155205e-16,1.15034687942917e-15,-1.05031328028872e-15,1.37431309117204e-15,1.37318815084254e-15,4.26735726071138e-15,5.42848179993458e-14,-0.0953462589245604
"t30",-0.0722273071348355,-0.0760016318853245,-0.00465708334306072,0.148294034657406,-0.204764852031249,-0.0215034080642878,-0.0925261858531729,-0.0806998833203637,-0.000130403114335206,-0.00244345466439645,-0.000343376430578636,-0.00569354817113421,0.00142778685312671,0.178765916023236,-4.15779607518695e-05,0.000220005535917841,3.92073028923272e-07,1.27498478710125e-05,-0.00334303248114528,-1.84504187527087e-06,-0.00181326287427169,-0.000241909794191674,1.20245453434784e-07,-4.19306116508117e-07,1.93840649350249e-16,-8.40138457947811e-05,8.35565246307249e-06,-0.000126715492590038,-5.27506237405325e-07,0.000255112330049536,-0.00460735745387668,0.00443604959089511,-0.00103222796964849,-0.0336107787110823,-1.19082908544366e-06,-0.000126531288213536,-0.000345651611469543,0.00129035301912347,-0.0217029089146761,6.412325937801e-05,8.81854580603915e-05,6.02544036789017e-06,-0.000103849959470595,-0.000111463700194256,0.000197753781880803,0.00312170705384957,0.921923522469149,-0.0502752533731953,0.00366525175850519,-0.0089021644422933,-1.0443641477754e-14,0.000262883214387191,0.00114382590262916,-0.00616544941890846,-0.000189261959285323,-0.00139785630844395,-9.87137818569433e-06,0.00143394113703694,-0.000485510904072646,-4.95503933526299e-05,0.000192294468415931,2.55510466093875e-07,-0.00368157995921438,-0.00168026735470347,8.06470530636153e-05,-1.12445890320773e-15,5.45295323635479e-16,2.37587943644912e-15,-7.41949136465371e-05,2.16221065525969e-05,0.118941478041294,4.06906004567774e-16,-7.22312480970905e-16,2.38165856902578e-05,1.9452141858954e-05,-4.54001727390759e-05,-1.44979229521353e-06,-1.87928614482491e-15,0.000352850523117891,1.90334560796325e-16,1.20416161343773e-16,-5.83180952378089e-05,8.28835159494351e-16,-1.71504863635731e-16,7.73081595925436e-16,-3.31652271005817e-06,2.15776724915728e-16,1.23988342812209e-05,-4.29317158509209e-16,-9.96436057561041e-06,2.85273701258274e-17,-3.64627052376038e-05,1.22880956868342e-15,-1.36373699340598e-16,-8.32762185579842e-16,-1.02564675297147e-16,-2.09789130133738e-16,-2.68469074721977e-15,-1.10584391713466e-16,-2.71323073669044e-16,0.00114110065406315,8.33453620669599e-09,-2.72079420090475e-16,1.0680120284757e-15,-7.83978358216829e-16,1.56208624604478e-15,8.86531706847416e-16,4.60560022225697e-15,5.3903979515205e-14,-0.0953462589245489
"t53",-0.0732951845191553,-0.0794888244975275,-0.00491643675834212,0.157928755824027,-0.229874240014588,-0.0243714404012166,-0.108968693110041,-0.0951882647102598,-0.000156172016972323,-0.00326615798284799,-0.000482438203771217,-0.00801959599465778,0.00204380841428293,0.268377147729006,-6.52073555494502e-05,0.000363338898664105,6.93152479931569e-07,2.42200960590194e-05,-0.00752217383564558,-4.57993723471101e-06,-0.00566572533959986,-0.000836378731964746,4.94153288733861e-07,-2.38868508437549e-06,-1.14586406476182e-16,-0.000613595440136219,0.000399292767975906,0.00414004741084809,6.81233942041281e-06,-0.00280668774488231,0.0176444018361459,-0.0136086613185934,0.00209729287792405,0.0542301019827215,1.59809586808914e-06,9.59161052063451e-05,0.000187607808762391,-0.000523626139856776,0.00857282012074096,-2.00489043079078e-05,-2.63430163734638e-05,-1.5415949089699e-06,9.71070030014356e-06,9.39059549603251e-06,-1.44936527360359e-05,-0.000223940004858807,-0.052686207228991,0.00198470960593275,-0.000138029170924373,0.000210695757635638,-1.95484157645265e-16,-3.87632562275647e-06,-6.8718674274747e-06,2.41008207971115e-05,5.79189434784554e-07,-5.30094676156369e-06,-2.12275225489625e-08,3.0295935444625e-06,-3.78357696012592e-08,3.17803846645962e-07,-2.1980937427353e-06,-5.9546874045013e-09,9.30903588653761e-05,7.45064570734989e-05,-4.48771809438531e-06,-1.32849482231439e-16,-2.21627552876522e-15,-1.62099451586817e-14,0.000135021941073649,-4.4571603824265e-05,-0.895169374677398,-8.74666690841664e-16,1.6804477710661e-15,3.54326422311041e-05,2.5893863108357e-05,-5.23903307300698e-05,-1.47043408197142e-06,1.11835442578406e-14,0.000296896069595,7.1763221010217e-18,-9.65092421382504e-16,-4.23508807262124e-05,-7.53713076083695e-16,-3.35419476612921e-15,3.8501769893239e-16,-2.19511427534219e-06,-1.38649845846678e-17,8.05015442185948e-06,9.42054423763412e-16,-6.42412225043847e-06,-3.05251170853371e-17,-2.34990512832021e-05,-8.13548103270924e-17,-1.29323617648195e-15,-2.50955939950187e-16,-2.95489221952855e-16,3.14717041671327e-16,-2.49042479150679e-15,-2.15269285229089e-15,2.51357886609497e-16,0.0060833368720335,5.13697598514895e-09,8.911033624265e-16,1.11463287554416e-15,-6.90326876232626e-18,1.5271678439715e-15,1.04998526289868e-15,4.36931190317835e-15,5.43940188944014e-14,-0.0953462589245548
"t95",-0.0737235044209926,-0.0808744950690542,-0.0050192075973411,0.161736838978829,-0.239655671764915,-0.0254859347029377,-0.115297637566265,-0.100762973746999,-0.000166051716257541,-0.00357433835129716,-0.000534052652514607,-0.00888255001420369,0.00227170723344137,0.301267913602776,-7.38217912905754e-05,0.000415205227949622,8.01124092151258e-07,2.82982667056415e-05,-0.00898265111503772,-5.52772026984245e-06,-0.00697955687744292,-0.00103795001691223,6.19878142368299e-07,-3.04298864226378e-06,-2.44149440640668e-17,-0.000788380682357992,0.000525878681085772,0.00551045386395264,9.15284697788602e-06,-0.00378103559108235,0.0245526621555082,-0.0191610251064068,0.00303949878177095,0.0802628596309834,2.41252372700617e-06,0.00015709559595363,0.000327641093425979,-0.000977916777504878,0.0161192416444437,-4.01386334985086e-05,-5.34346594918616e-05,-3.27606384305675e-06,3.02084543465902e-05,3.06214408650749e-05,-5.04409460581017e-05,-0.000787379652610939,-0.207226927221354,0.00949912199723656,-0.000678189725871259,0.00136041585767807,2.48460791099217e-15,-3.39839611776163e-05,-0.000116162933739671,0.000576932659840934,1.70524806545624e-05,6.02895304985471e-05,1.10836281451949e-07,-1.57463330513957e-05,1.63446304406915e-07,-1.00989622843319e-06,6.05058241724074e-06,1.30454279669089e-08,-0.000197997437151,-0.000127046123025902,6.94374522938341e-06,-5.3644264134903e-18,9.67902842308874e-16,3.86038968987062e-15,-4.63706169456675e-05,1.48283277543518e-05,0.241951538268601,1.06955914918818e-15,-6.48604218266363e-16,-3.34853627725355e-06,-1.90197365068483e-06,2.14308750289114e-06,6.60659624383799e-09,-5.74596100760452e-15,1.95074043254215e-05,4.73369953393614e-16,-3.01228695519368e-16,-6.15042496739565e-06,4.59087556224864e-15,6.00470823829156e-16,3.88988850616576e-16,-4.65927250258577e-07,3.82632250656945e-16,1.81433923568782e-06,2.29159724705081e-15,-1.47006930064112e-06,9.20287468578225e-16,-5.38080315711447e-06,4.01413358032202e-15,2.23126267345998e-14,-4.39191124792861e-15,-4.50224996112083e-15,1.37237771509692e-16,2.08273974363749e-14,6.16877156318352e-13,-3.01099392099343e-14,-0.819098922699243,4.19807597378602e-09,8.35364651908827e-14,4.80693719992665e-15,-4.35726281306087e-14,1.70204783630618e-15,4.91580086542717e-15,5.15621397798771e-15,5.51977041363131e-14,-0.0953462589245693
"t101",-0.0737344143545445,-0.0809095920976145,-0.00502180633240196,0.161832986920211,-0.239900550557882,-0.0255137964242708,-0.115455000145024,-0.100901553945294,-0.000166296816826285,-0.00358188624982841,-0.000535310524631978,-0.00890357563164738,0.00227725158073932,0.302064740895775,-7.40297512783129e-05,0.000416452506239356,8.03708666457391e-07,2.83954655073798e-05,-0.00901716463793515,-5.55002712492897e-06,-0.0070102436859751,-0.00104264537520379,6.22795384261274e-07,-3.05808781809842e-06,-1.10865505761376e-16,-0.000792402130288196,0.000528766682666668,0.00554160923507551,9.20589305644452e-06,-0.0038030993836747,0.0247074914414075,-0.0192850138449692,0.00306035699237211,0.0808356462496083,2.43034296102706e-06,0.000158405497504267,0.000330593097653468,-0.000987351358237858,0.016275737760833,-4.05499459048446e-05,-5.39879134640668e-05,-3.31117548189337e-06,3.06007048537633e-05,3.10255319487049e-05,-5.11203579410769e-05,-0.000798017533693378,-0.210113269347538,0.00963723555196491,-0.000688098967878861,0.00138115427964211,2.43086203792823e-15,-3.4519519357289e-05,-0.000118071503330279,0.000586531382588736,1.73377672022277e-05,6.13815950180637e-05,1.12965382303063e-07,-1.60489526429191e-05,1.66652142399277e-07,-1.03052447442402e-06,6.17693373447721e-06,1.33288127045068e-08,-0.000202322265862343,-0.000129945970140117,7.10558394806332e-06,5.14909798786424e-16,3.48051968597178e-16,4.56218909420426e-15,-4.79736910501115e-05,1.53452493175816e-05,0.250844072616175,1.25621410621245e-16,-9.65295959209465e-16,-3.5000133464914e-06,-1.99094701002259e-06,2.24924637929877e-06,6.95880545250582e-09,-1.38830232228708e-15,2.07543582677306e-05,-6.44063679091244e-17,4.57657439146762e-16,-6.69301198685069e-06,-2.00083335247184e-15,2.7098872350414e-15,-4.34664672196732e-16,-5.39082348973339e-07,-1.05988559183031e-15,2.19071692310435e-06,1.04099790561498e-15,-1.82232060794821e-06,3.73082272652972e-16,-6.68131825000384e-06,-4.8059123385051e-16,-5.20696229813886e-15,1.99388127510439e-15,2.94176125544241e-15,-1.86346207013725e-15,-5.81063122358958e-15,-2.96480281567714e-13,1.10743444632056e-14,0.405609787624309,4.72490804343029e-10,-5.33012757713251e-14,2.53928565334638e-14,-0.707106781186527,1.70910491745953e-15,6.56429597878488e-15,3.57036015612105e-15,5.26973352883185e-14,-0.0953462589245534
"t102",-0.0737344143545445,-0.0809095920976145,-0.00502180633240197,0.161832986920211,-0.239900550557882,-0.0255137964242709,-0.115455000145024,-0.100901553945294,-0.000166296816826252,-0.00358188624982862,-0.000535310524631986,-0.00890357563164736,0.00227725158073956,0.302064740895775,-7.4029751278366e-05,0.00041645250623928,8.03708666845879e-07,2.83954655074719e-05,-0.0090171646379351,-5.5500271249551e-06,-0.00701024368597507,-0.00104264537520366,6.22795384426923e-07,-3.05808781812239e-06,1.39673235462406e-17,-0.000792402130288,0.000528766682666672,0.00554160923507542,9.20589305653492e-06,-0.0038030993836745,0.0247074914414073,-0.0192850138449689,0.00306035699237277,0.080835646249608,2.43034296085097e-06,0.000158405497504129,0.000330593097653384,-0.00098735135823782,0.016275737760833,-4.05499459048174e-05,-5.39879134642659e-05,-3.31117548197269e-06,3.06007048537143e-05,3.10255319485986e-05,-5.11203579407448e-05,-0.000798017533694498,-0.210113269347538,0.00963723555196509,-0.000688098967879007,0.00138115427964193,2.44127037878452e-15,-3.45195193572881e-05,-0.000118071503330105,0.000586531382588782,1.73377672021559e-05,6.13815950165265e-05,1.12965381981903e-07,-1.60489526431956e-05,1.66652142394391e-07,-1.03052447478045e-06,6.17693373450981e-06,1.33288131182695e-08,-0.000202322265863527,-0.000129945970140226,7.10558394844103e-06,5.19698268224787e-16,4.77462245024287e-16,4.52384953857115e-15,-4.79736910488505e-05,1.53452493179623e-05,0.250844072616176,4.4790246202536e-16,-1.1063592737215e-15,-3.50001334812058e-06,-1.99094701021207e-06,2.2492463821701e-06,6.95880819157447e-09,2.13665578089779e-15,2.07543582651245e-05,1.01241517674639e-15,3.5498407373301e-16,-6.69301198990895e-06,-2.99049309551661e-15,3.99235564829945e-16,5.63010276799121e-16,-5.39082349301277e-07,8.97394436213079e-16,2.19071692260702e-06,-4.81830452638813e-15,-1.82232060439144e-06,-2.47815384718519e-15,-6.68131823949199e-06,-1.97809453875901e-17,-1.21319784142383e-14,1.24264325353513e-15,1.15961726960052e-15,1.50305945617424e-15,-2.29727484768533e-14,-3.11329514523763e-13,1.71789374312219e-14,0.405609787624235,4.72488917203906e-10,-3.31776160651485e-14,-2.70035963967086e-14,0.707106781186568,1.04331138971658e-15,-8.39849937089027e-15,5.25129425479987e-15,5.35832575922115e-14,-0.0953462589245665
"t37",-0.0717853902973861,-0.074128082926914,-0.00450705155517132,0.142334163494848,-0.182298260523637,-0.0187727388803883,-0.0725933937048719,-0.0629675157935956,-9.57883425060468e-05,-0.000273638201941137,0.000170225682122288,0.0030550812058213,-0.00118318024285412,-0.387555411753687,0.000198659665731443,-0.0035129264448823,1.16027592678261e-05,0.000151053361289891,-0.026526525362792,-1.41861636713805e-05,-0.0150078136029831,-0.00213021687147825,1.20062394460181e-06,-5.50625833602539e-06,2.88062929430862e-17,-0.00138137696140882,0.000852215446638799,0.00867999182122657,1.40839422493855e-05,-0.00578114806637515,0.0350044745640946,-0.0267034876701413,0.00402262551308665,0.102580597006958,2.9881930926915e-06,0.000172525781996891,0.000328600692469744,-0.000891417629831791,0.0145502895017455,-3.30196178340784e-05,-4.30894099094681e-05,-2.45589077024827e-06,9.77358731725543e-06,8.39493212168567e-06,-1.04344508062394e-05,-0.000154627678494755,-0.0172839784406557,-0.00100887532888546,8.86640319239644e-05,-0.000508511245292424,-3.55207244769108e-16,2.09633728303074e-05,0.000119169753043412,-0.000682179179704091,-2.14546894623224e-05,-0.000197476349086347,-1.39057553263609e-06,0.000201808902956636,-6.39602634244991e-05,-3.90788046015947e-06,-8.20824213892447e-07,-5.0217449757395e-07,0.502883778796589,-0.00100184286887238,4.1136218454661e-05,-0.707106781186561,6.29158363031004e-15,-1.08778530647978e-15,-2.53934263487848e-05,7.12756393272092e-06,0.00329288921513947,4.19533826195266e-16,-2.16934662780655e-16,1.33261634499883e-05,1.07773538266933e-05,-2.49472577807197e-05,-7.94684898145309e-07,-1.27385322315794e-15,0.000194917109750865,1.10135745345822e-16,-6.41247690174284e-17,-3.29348148002167e-05,9.37452931894618e-16,-5.39829965539052e-16,-5.39903709169679e-17,-1.92971707195825e-06,3.77438743391474e-16,7.28274679837587e-06,-6.0854086049264e-16,-5.87587173093032e-06,-3.80295389861022e-16,-2.15063346680573e-05,7.32004314486359e-16,3.31276176037552e-16,-7.71632418677767e-16,9.63087375976253e-18,-1.76980776688241e-16,-2.355698993642e-15,7.08742835060391e-16,-3.22767113618789e-16,6.36893433460715e-05,5.07438607318625e-09,-1.95153027405753e-15,1.10707357268423e-15,-5.6822154494007e-16,1.60406733752903e-15,1.57124475866367e-15,4.59480616995145e-15,5.39535392807588e-14,-0.0953462589245623
"t38",-0.0717853902973861,-0.074128082926914,-0.0045070515551713,0.142334163494848,-0.182298260523637,-0.0187727388803883,-0.0725933937048718,-0.0629675157935957,-9.57883425059807e-05,-0.00027363820194099,0.000170225682122403,0.0030550812058212,-0.0011831802428542,-0.387555411753687,0.000198659665731578,-0.00351292644488222,1.16027592678273e-05,0.000151053361289631,-0.026526525362792,-1.41861636710921e-05,-0.0150078136029832,-0.00213021687147856,1.20062394486548e-06,-5.50625833588639e-06,2.020032373114e-16,-0.00138137696140874,0.000852215446638965,0.00867999182122692,1.40839422493991e-05,-0.00578114806637548,0.0350044745640946,-0.0267034876701413,0.00402262551308684,0.102580597006958,2.98819309245019e-06,0.000172525781997404,0.000328600692469644,-0.000891417629831672,0.0145502895017455,-3.30196178345232e-05,-4.30894099096925e-05,-2.45589077042839e-06,9.77358731623636e-06,8.39493212155701e-06,-1.04344508062371e-05,-0.000154627678492011,-0.017283978440654,-0.00100887532888657,8.86640319243568e-05,-0.000508511245291627,9.63182596973515e-16,2.09633728299452e-05,0.000119169753042154,-0.000682179179702696,-2.14546894624715e-05,-0.000197476349084366,-1.39057553052614e-06,0.000201808902953058,-6.39602634238404e-05,-3.90788046171963e-06,-8.20824215167704e-07,-5.02174498451515e-07,0.502883778796628,-0.0010018428688697,4.11362184177244e-05,0.707106781186534,-4.75093233071513e-15,2.79015331846655e-15,-2.53934263476242e-05,7.12756393107184e-06,0.00329288921513912,-5.17343199869102e-16,-3.19566999374879e-16,1.33261634491504e-05,1.07773538263134e-05,-2.49472577802622e-05,-7.94684898072824e-07,2.64662183254965e-15,0.000194917109752276,3.11390659831254e-16,6.06417342174349e-19,-3.29348148011188e-05,-2.02675580768075e-15,-8.18629678760852e-17,1.78903527548781e-17,-1.92971707135249e-06,-4.5326458575213e-16,7.28274679854421e-06,-1.53968456059876e-16,-5.87587173124292e-06,-7.0875345570635e-16,-2.15063346682175e-05,1.23632797974397e-15,4.14542902884432e-16,-6.81901444264081e-16,-3.12707178968846e-16,1.11000056753582e-16,-2.72676021963072e-15,1.61079904254967e-15,-5.70548992140853e-16,6.3689343345628e-05,5.0743860847957e-09,-1.47417859385444e-16,1.24725755656057e-15,-3.80871450724637e-16,1.44311183935371e-15,2.57461685720189e-16,4.49408781643505e-15,5.36975003996235e-14,-0.0953462589245621
