"","Galium_labradoricum","Galium_ciliare","Galium_spurium","Galium_binifolium","Galium_concinnum","Galium_propinquum","Galium_sterneri","Galium_nuttallii","Galium_circaezans","Galium_bolanderi","Galium_tinctorium","Galium_lucidum","Galium_mexicanum","Galium_verum","Galium_odoratum","Galium_saxatile","Galium_parisiense","Galium_divaricatum","Cruciata_glabra","Sherardia_arvensis","Asperula_glomerata","Coprosma_propinqua","Coprosma_repens","Coprosma_robusta","Coprosma_rhamnoides","Coprosma_foetidissima","Nertera_granadensis","Psychotria_penangensis","Psychotria_micrantha","Psychotria_chagrensis","Psychotria_brachypoda","Psychotria_papantlensis","Psychotria_flava","Psychotria_tenuifolia","Psychotria_serpens","Palicourea_faxlucens","Palicourea_guianensis","Palicourea_acuminata","Faramea_occidentalis","Coussarea_suaveolens","Rosenbergiodendron_formosum","Randia_pterocarpa","Randia_hebecarpa","Randia_thurberi","Gardenia_ovularis","Gardenia_ternifolia","Alibertia_edulis","Coffea_canephora","Coffea_arabica","Coffea_congensis","Ixora_congesta","Ixora_peruviana","Ixora_javanica","Calycophyllum_candidissimum","Nauclea_diderrichii","Neolamarckia_cadamba","Arachnothryx_galeottii","Guettarda_elliptica","Guettarda_divaricata","Guettarda_odorata","Exostema_caribaeum","Hamelia_axillaris","Hamelia_patens","Stephanostegia_capuronii","Vincetoxicum_hirundinaria","Asclepias_subulata","Asclepias_speciosa","Asclepias_oenotheroides","Asclepias_eriocarpa","Asclepias_cordifolia","Asclepias_amplexicaulis","Asclepias_tuberosa","Calotropis_gigantea","Calotropis_procera","Mandevilla_benthamii","Strophanthus_kombe","Nerium_oleander","Tabernaemontana_siphilitica","Tabernaemontana_alba","Lacmellea_panamensis","Plumeria_alba","Carissa_macrocarpa","Aspidosperma_megalocarpon","Aspidosperma_polyneuron","Aspidosperma_spruceanum","Alstonia_angustiloba","Alstonia_muelleriana","Chironia_linoides","Eustoma_exaltatum","Gentianella_parviflora","Gentianella_campestris","Gentianella_amarella","Swertia_bimaculata","Gentiana_clusii","Gentiana_utriculosa","Gentiana_scabra","Centaurium_littorale","Centaurium_pulchellum","Blackstonia_perfoliata","Geniostoma_rupestre"
"Galium_tinctorium",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,11.845654,11.845654,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.89551,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_lucidum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,0,1.092604,1.9662,4.638522,4.808044,4.808044,4.808044,12.89551,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_mexicanum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.092604,0,1.9662,4.638522,4.808044,4.808044,4.808044,12.89551,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_verum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.9662,1.9662,0,4.638522,4.808044,4.808044,4.808044,12.89551,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_odoratum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.638522,4.638522,4.638522,0,4.808044,4.808044,4.808044,12.89551,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_saxatile",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,4.808044,0,3.839764,3.839764,12.89551,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_parisiense",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,4.808044,3.839764,0,0.224302,12.89551,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_divaricatum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,4.808044,3.839764,0.224302,0,12.89551,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Cruciata_glabra",12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,0,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Sherardia_arvensis",13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,0,12.191942,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Asperula_glomerata",13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,12.191942,0,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Coprosma_propinqua",41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,0,4.175882,4.175882,4.175882,4.175882,8.996978,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Coprosma_repens",41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,4.175882,0,4.175882,4.175882,4.175882,8.996978,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
