"","Malanea_revolutifolia","Exallage_buruensis","Cynanchica_×_jordanii","Galium_×_retzii","Plocama_kandaharensis","Argostemma_urticifolium","Argostemma_humifusum","Argostemma_propinquum","Argostemma_solaniflorum","Anthospermum_villosicarpum","Hedyotis_stelligera","Oldenlandia_cryptocarpa","Oldenlandia_paludosa","Oldenlandia_selleana","Oldenlandia_forcipitistipula","Richardia_cruciata","Spermacoce_nana","Manettia_pubescens","Pentodon_pentandrus","Pentanisia_confertifolia","Psychotria_temetiuensis","Psychotria_paucinervia","Psychotria_kuruvolii","Psychotria_closterocarpa","Psychotria_boiviniana","Amaracarpus_syzygifolius","Carapichea_ipecacuanha","Rudgea_costanensis","Palicourea_timbiquensis","Faramea_scandens","Coussarea_procumbens","Coccocypselum_glabrifolium","Lasianthus_kbangensis","Lasianthus_longipedunculatus","Urophyllum_glaucescens","Ophiorrhiza_pykarensis","Tarenna_barbellata","Pavetta_tenella","Pavetta_hispida","Pavetta_grossissima","Pavetta_akeassii","Atractocarpus_nigricans","Bungarimba_ridsdalei","Randia_capitata","Kutchubaea_palustris","Empogona_reflexa","Polysphaeria_hirta","Wendlandia_arabica","Psydrax_martini","Mussaenda_ustii","Bremeria_scabrella","Uncaria_rhynchophylla","Ladenbergia_muzonensis","Remijia_tenuiflora","Guettarda_punctata","Timonius_pachyphyllus","Stenostomum_heteroneurum","Gonzalagunia_pachystachya","Rondeletia_fuertesii","Solenandra_microcarpa","Dolicholobium_rubrum","Ibatia_demuneri","Orbea_valida","Ditassa_lenheirensis","Philibertia_peduncularis","Matelea_liesneri","Gonolobus_naturalistae","Orthosia_extra-axillaris","Scyphostelma_ruizteranii","Asclepias_breviantherae","Stenostelma_capense","Cynanchum_bricenoi","Cynanchum_hickenii","Cynanchum_leucophellum","Ceropegia_nepalensis","Ceropegia_huttonii","Ceropegia_brevipedicellata","Anisotoma_cordifolia","Hoya_pachyclada","Hoya_phuwuaensis","Hoya_mitrata","Dischidia_astephana","Marsdenia_celebica","Ruehssia_nana","Secamone_grandiflora","Pentopetia_bidens","Urceola_polymorpha","Tabernaemontana_crispiflora","Schizozygia_coffeoides","Alyxia_arfakensis","Alyxia_torquata","Melodinus_honbaensis","Alstonia_deplanchei","Anthocleista_obanensis","Gentianella_decumbens","Lomatogonium_zhongdianense","Gentiana_confertifolia","Gentiana_ligustica","Mitrasacme_scopata","Strychnos_oleifolia"
"Hedyotis_stelligera",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,0,24.773614,24.773614,24.773614,24.773614,25.247694,25.247694,25.247694,33.442184,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Oldenlandia_cryptocarpa",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,24.773614,0,24.243408,24.243408,24.243408,25.247694,25.247694,25.247694,33.442184,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Oldenlandia_paludosa",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,24.773614,24.243408,0,24.243408,24.243408,25.247694,25.247694,25.247694,33.442184,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Oldenlandia_selleana",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,24.773614,24.243408,24.243408,0,24.243408,25.247694,25.247694,25.247694,33.442184,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Oldenlandia_forcipitistipula",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,24.773614,24.243408,24.243408,24.243408,0,25.247694,25.247694,25.247694,33.442184,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Richardia_cruciata",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,25.247694,25.247694,0,13.187922,19.372072,33.442184,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Spermacoce_nana",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,25.247694,25.247694,13.187922,0,19.372072,33.442184,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Manettia_pubescens",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,25.247694,25.247694,25.247694,25.247694,19.372072,19.372072,0,33.442184,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Pentodon_pentandrus",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,33.442184,33.442184,33.442184,33.442184,33.442184,33.442184,33.442184,33.442184,0,42.660598,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Pentanisia_confertifolia",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,42.660598,42.660598,42.660598,42.660598,42.660598,42.660598,42.660598,42.660598,42.660598,0,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_temetiuensis",99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,0,16.968232,16.968232,16.968232,16.968232,18.039212,30.11448,30.11448,30.11448,48.51106,48.51106,48.51106,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_paucinervia",99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,0,16.968232,16.968232,16.968232,18.039212,30.11448,30.11448,30.11448,48.51106,48.51106,48.51106,67.782866,67.782866,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
