"","Galium_eriocarpum","Galium_propinquum","Galium_sterneri","Galium_nuttallii","Galium_bolanderi","Galium_palustre","Galium_tinctorium","Galium_trifidum","Galium_bifolium","Galium_lucidum","Galium_verum","Galium_aparine","Galium_saxatile","Galium_parisiense","Galium_divaricatum","Galium_triflorum","Sherardia_arvensis","Asperula_molluginoides","Crucianella_gilanica","Rubia_cordifolia","Rubia_peregrina","Coprosma_propinqua","Coprosma_repens","Coprosma_robusta","Coprosma_rhamnoides","Coprosma_foetidissima","Nertera_dichondrifolia","Nertera_granadensis","Opercularia_varia","Oldenlandia_corymbosa","Spermacoce_brachystema","Spermacoce_leptoloba","Spermacoce_breviflora","Knoxia_sumatrensis","Psychotria_micrantha","Psychotria_tenuifolia","Psychotria_grandis","Psychotria_serpens","Palicourea_cyanococca","Coussarea_contracta","Coussarea_suaveolens","Tarenna_mollissima","Tocoyena_pittieri","Randia_hebecarpa","Gardenia_ovularis","Gardenia_ternifolia","Alibertia_edulis","Coffea_racemosa","Coffea_arabica","Coffea_congensis","Calycophyllum_candidissimum","Pentagonia_macrophylla","Nauclea_officinalis","Isertia_haenkeana","Arachnothryx_galeottii","Guettarda_elliptica","Guettarda_tikalana","Guettarda_aromatica","Guettarda_odorata","Exostema_caribaeum","Hamelia_patens","Macrocnemum_roseum","Thevetia_ahouai","Stephanostegia_capuronii","Vincetoxicum_hirundinaria","Asclepias_subulata","Asclepias_albicans","Asclepias_eriocarpa","Asclepias_amplexicaulis","Asclepias_tuberosa","Calotropis_gigantea","Mandevilla_benthamii","Wrightia_tinctoria","Nerium_oleander","Tabernaemontana_arborea","Tabernaemontana_sananho","Tabernaemontana_siphilitica","Lacmellea_panamensis","Catharanthus_roseus","Vinca_minor","Plumeria_alba","Carissa_macrocarpa","Aspidosperma_polyneuron","Aspidosperma_cylindrocarpon","Alstonia_spectabilis","Fagraea_berteroana","Exacum_affine","Gentianella_parviflora","Gentianella_campestris","Gentianella_amarella","Gentianella_insubrica","Swertia_pseudochinensis","Gentiana_clusii","Gentiana_lutea","Gentiana_sceptrum","Gentiana_andrewsii","Gentiana_utriculosa","Gentiana_pneumonanthe","Centaurium_pulchellum","Cicendia_quadrangularis"
"Galium_verum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.9662,0,4.638522,4.808044,4.808044,4.808044,5.468018,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_aparine",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.638522,4.638522,0,4.808044,4.808044,4.808044,5.468018,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_saxatile",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,0,3.839764,3.839764,5.468018,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_parisiense",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,3.839764,0,0.224302,5.468018,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_divaricatum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,3.839764,0.224302,0,5.468018,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_triflorum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,5.468018,5.468018,5.468018,5.468018,5.468018,5.468018,0,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Sherardia_arvensis",13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,0,12.191942,12.191942,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Asperula_molluginoides",13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,12.191942,0,9.58422,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Crucianella_gilanica",13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,12.191942,9.58422,0,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Rubia_cordifolia",16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,0,6.450208,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Rubia_peregrina",16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,6.450208,0,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Coprosma_propinqua",41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,0,4.175882,4.175882,4.175882,4.175882,8.996978,8.996978,17.89992,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Coprosma_repens",41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,4.175882,0,4.175882,4.175882,4.175882,8.996978,8.996978,17.89992,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
