"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104"
"t64",-0.138224032953885,-0.0655385710888978,0.219102479316407,0.00989817900489235,-0.0152047910861738,-0.0890614921476184,0.0438656537684654,-0.0225398027699732,0.0889512536311036,0.274806240233037,-0.00496193315663753,0.0148357793224006,-0.0219067969105097,-0.00390241460092726,-6.56782050711227e-05,-0.000257800119650458,0.000595020026438853,1.8801825824523e-05,1.33115580926327e-06,0.0167042160243959,2.66796966413005e-05,-2.15835193289358e-06,-0.000647342687497071,0.000246240859364849,-3.33751053208255e-05,-3.21338150283616e-05,-6.82364636320742e-06,-0.00314298035331582,0.0569271863700377,0.00533141088961214,1.02498680943597e-05,-8.24280099242672e-05,5.17202068996633e-07,-0.00109056083420375,-6.28314869754635e-05,7.97522611922384e-17,-1.52971252294643e-06,0.000465343330585216,6.45295621494228e-05,0.148307337620571,-3.3395295191928e-15,1.52028614838793e-17,8.81476947490291e-05,-3.65487297296149e-05,-2.7141539590444e-05,-4.59993357894889e-06,1.36681427019037e-05,-1.90148256186952e-15,-2.46604782856949e-16,-5.10184234368046e-16,2.08622064908309e-15,-1.58055056144098e-07,2.13600789819973e-07,5.10312384845036e-07,1.04245444335771e-05,-1.21109164814675e-05,-4.84711118342436e-06,-1.88005227206533e-05,2.5734640824353e-05,0.00960175096092655,0.0204284005176445,-1.56155772054057e-15,6.19216059796155e-05,0.000222859144557416,-1.49113398277785e-06,-0.297935772903784,-2.49454749534186e-06,-5.40063912965115e-15,-2.64379750835927e-07,-1.14110392498863e-07,-2.45800202367352e-15,1.74510851318903e-15,-4.94644804606399e-08,2.66069706134739e-16,4.50732023830342e-07,-7.16846521463673e-10,6.85363828651725e-06,-1.03252965323559e-14,-4.70472631228325e-14,-0.842243646524201,-1.03247804351659e-14,-1.2617750878071e-14,-4.88457892423485e-16,-3.85032710227305e-16,8.31062910636126e-07,-1.10286924039923e-14,-7.22159870630346e-15,3.49632691952933e-07,-5.23111053674273e-15,-5.16682950975699e-16,0.000102888297320636,-5.35970826541582e-07,3.59336080709568e-16,2.13729027396556e-15,-1.37096043339394e-14,4.8892624624442e-16,-9.16194445352943e-08,6.58185829354102e-07,8.56398154827438e-16,-1.4134506203804e-15,-1.39527226757793e-14,1.94642172456987e-16,1.09543293371794e-15,-3.40476475098191e-15
"t75",-0.138385310131387,-0.0656409533916175,0.219464469009751,0.00992205900651683,-0.0152430377022741,-0.0894794934314489,0.0440823856315044,-0.0227040540033347,0.0896538836521568,0.277083421302163,-0.005008287901668,0.0149824764948905,-0.0221667851967641,-0.00395269539908351,-6.65588427460962e-05,-0.000261586185192293,0.000604620875534243,1.91194439964064e-05,1.35520604418455e-06,0.0170197951888365,2.72288067680766e-05,-2.20412707216989e-06,-0.000661688318362613,0.000252142966822811,-3.41979665825982e-05,-3.29561710622694e-05,-7.01727371591825e-06,-0.00323538008213683,0.0586525267680827,0.00549350168503721,1.05728072172816e-05,-8.51364442992455e-05,5.37449475739152e-07,-0.00113532370779253,-6.5418293681338e-05,-4.89281348626237e-16,-1.59596049131513e-06,0.000485685072148077,6.74610986671169e-05,0.156413947742623,-4.09150857812726e-15,-8.74036699321702e-16,9.36460463842698e-05,-3.89299443474049e-05,-2.89700158493867e-05,-4.91510684797445e-06,1.46118664458333e-05,-2.69202375086031e-15,4.71795202268473e-16,-2.15638786319698e-15,-2.66626283935817e-16,-1.71557753703072e-07,2.32318492577968e-07,5.60100112672185e-07,1.14870453691242e-05,-1.35373825650266e-05,-5.43316559843436e-06,-2.11099406100939e-05,2.89196055992793e-05,0.0108541317883371,0.0231550651735873,-4.41473779482852e-16,7.19335046022827e-05,0.000269940182120469,-1.87093232893913e-06,-0.387019979023338,-3.27604292679105e-06,-1.03086677981364e-14,-3.62298297216012e-07,-1.5959316423216e-07,-1.43286960893697e-16,-3.13212091077466e-15,-7.18659157185053e-08,6.97063545676434e-16,7.35146673028768e-07,-1.22843700071623e-09,1.17791783571198e-05,7.01782835386436e-15,2.08603589595323e-14,0.379222674997449,-1.16050869792208e-14,5.65148183405577e-15,1.76870793672179e-15,-1.45352044495047e-14,3.76868406757464e-07,-8.7226639479777e-14,-0.707106781186544,1.78116303212069e-07,1.08945421719763e-14,-1.33217825388382e-14,6.21591413777641e-05,-3.65805550975945e-07,2.0463874962567e-15,2.60629280860022e-15,-4.20464694386323e-14,-8.8560147240566e-16,-7.44121994446682e-08,5.36323040857109e-07,-1.4833020379763e-15,-2.73956906999964e-15,1.94235955197862e-15,-1.08316329466701e-15,1.84598951404134e-15,-5.91193032743002e-16
"t76",-0.138385310131387,-0.0656409533916174,0.219464469009751,0.00992205900651686,-0.0152430377022741,-0.0894794934314489,0.0440823856315044,-0.0227040540033347,0.0896538836521568,0.277083421302163,-0.00500828790166801,0.0149824764948906,-0.0221667851967639,-0.00395269539908379,-6.655884274623e-05,-0.000261586185192817,0.000604620875534402,1.91194439966782e-05,1.3552060440707e-06,0.0170197951888363,2.72288067683245e-05,-2.20412707204658e-06,-0.000661688318363295,0.000252142966822211,-3.41979665829482e-05,-3.29561710623189e-05,-7.01727371592125e-06,-0.00323538008213668,0.0586525267680817,0.00549350168503828,1.05728072174972e-05,-8.51364442989481e-05,5.37449475622655e-07,-0.00113532370779304,-6.54182936821116e-05,8.66611081791264e-16,-1.59596049165046e-06,0.00048568507214847,6.74610986671916e-05,0.156413947742623,-3.87692184959866e-15,-6.74837690041916e-16,9.36460463850884e-05,-3.89299443475157e-05,-2.89700158505914e-05,-4.91510684741076e-06,1.46118664459098e-05,-1.74540543786247e-15,7.44854194002432e-16,6.04603803156289e-16,2.5366868532427e-15,-1.71557753675546e-07,2.32318492676659e-07,5.60100112068458e-07,1.14870453700872e-05,-1.35373825638731e-05,-5.43316559873132e-06,-2.11099406132697e-05,2.89196055983347e-05,0.0108541317883338,0.0231550651735893,-1.19228375475968e-15,7.19335045946673e-05,0.000269940182126714,-1.87093233081313e-06,-0.387019979023337,-3.27604291332205e-06,-9.15232017503743e-15,-3.62298297619183e-07,-1.59593164882781e-07,-2.69924443094614e-15,-1.87849769575779e-15,-7.18659133018544e-08,1.93028426033439e-16,7.35146668381119e-07,-1.22843880419778e-09,1.17791783487542e-05,-1.43110154968087e-16,2.19737005961023e-14,0.379222674997437,1.7302345024431e-14,6.12528749346058e-15,-1.1690308511888e-15,1.3995587883253e-14,3.76868548253411e-07,9.61269364739041e-14,0.70710678118655,1.78115859296832e-07,-6.42418835726177e-15,1.56178804258005e-14,6.21591413619482e-05,-3.65805532618956e-07,-1.82184584161222e-15,-5.04081245455671e-15,2.11187455191738e-14,1.75580593159406e-15,-7.44121962643411e-08,5.36323050405526e-07,-5.37192925125445e-16,5.35588852644572e-16,-2.28317685095324e-14,2.15873842488273e-15,1.44604138812703e-15,-2.50062603972259e-15
"t10",-0.105859737127754,-0.044795163985403,0.145601095087714,0.00496046039299579,-0.00727730255570131,0.00160448906207878,-0.00332546838840922,0.0129306980212496,-0.0575323105049454,-0.180880064320272,0.00177423902528755,0.00458918168099132,0.306741640774881,0.0382587962538831,0.000651697590962115,0.00321689418123524,-0.0208343431079039,-4.0801080824962e-06,-2.41268344862739e-05,-0.553710089362323,0.00433143980439264,-0.000118676722878666,-0.0179582881121572,0.00348359103239173,-0.000393195202430066,-0.000302517136087429,-3.27925224206977e-05,-0.0105486488984366,0.11059921030666,0.00949212345202018,-5.12573998679252e-06,0.000488411152779836,3.94121288226938e-06,-0.00629113982678167,-0.000356605338697518,0.707106781186548,-6.68367627795393e-06,0.00193801621859932,0.000218943627150815,0.0321638666323111,-1.72739933733402e-16,-2.53970696242578e-18,-0.000228919071235089,0.000142637471735777,0.000140100590887857,2.7237660277323e-05,-8.61323076912024e-05,-1.74623379362177e-15,-4.39227699797319e-16,5.46770068857178e-16,-6.8323632835985e-16,-3.9066248780115e-05,1.24446684258571e-05,7.16592872903076e-06,0.000110098453261018,-6.08024329663002e-05,-2.13234100548111e-05,-7.6157460590851e-05,0.000100164116019766,0.027571261097402,0.0503269002495517,7.73236717737678e-16,-2.45297503025941e-05,-0.000761838849513499,5.93405552746047e-06,0.000366940001582343,-8.39708682089904e-06,1.72125369441982e-16,-1.40764639245008e-05,-2.27100644734907e-05,-3.42829566952478e-17,4.23116378434502e-16,1.47248763665324e-05,2.00270854100703e-16,-0.000110872005497558,2.40691004677844e-07,-0.000326126308706374,3.33855062896602e-16,4.31349425662903e-17,3.5547497322869e-05,1.72335085141102e-16,-3.4251179028564e-16,-3.29931200580755e-16,3.36734544120097e-17,1.42343733544318e-05,5.48696987787981e-16,-8.76559933647573e-16,5.96818720210328e-06,2.02607161694383e-16,2.73297247924179e-16,0.000383856557327888,-8.27358195331845e-06,1.64501616055182e-16,6.67537014304227e-17,-7.86176679312689e-15,3.50882830086102e-16,-1.12773544789942e-06,8.04509276999094e-06,-1.8340709441816e-16,-9.61718699639044e-16,-1.16277896842189e-14,3.59532379719467e-16,1.21248458432296e-15,-1.96674338690128e-15
"t11",-0.105859737127754,-0.044795163985403,0.145601095087714,0.00496046039299579,-0.00727730255570131,0.0016044890620787,-0.00332546838840923,0.0129306980212495,-0.0575323105049452,-0.180880064320272,0.00177423902528749,0.00458918168099143,0.306741640774881,0.0382587962538832,0.00065169759096175,0.00321689418123532,-0.0208343431079046,-4.08010808237578e-06,-2.41268344862155e-05,-0.553710089362324,0.00433143980439285,-0.000118676722878354,-0.0179582881121571,0.00348359103239051,-0.000393195202430926,-0.00030251713608735,-3.27925224203294e-05,-0.0105486488984359,0.110599210306661,0.00949212345201963,-5.12573998680012e-06,0.000488411152779763,3.94121288427384e-06,-0.00629113982676723,-0.000356605338676309,-0.707106781186547,-6.68367627820247e-06,0.00193801621857842,0.000218943627161069,0.0321638666323109,-1.30187798542348e-15,2.00068427101573e-16,-0.000228919071234754,0.000142637471735574,0.000140100590888129,2.72376602781714e-05,-8.61323076906574e-05,1.25052588196741e-15,4.53341692916931e-17,-5.35250759603515e-16,-1.10217204780828e-15,-3.90662487808226e-05,1.24446684264309e-05,7.16592872864889e-06,0.000110098453260631,-6.08024329665292e-05,-2.13234100540044e-05,-7.61574605911965e-05,0.000100164116020617,0.0275712610974018,0.0503269002495529,1.18100934287705e-15,-2.45297503032559e-05,-0.000761838849512801,5.93405552752702e-06,0.000366940001581833,-8.39708682023594e-06,-3.2052478491242e-16,-1.40764639241433e-05,-2.27100644736295e-05,-1.24797934056951e-16,1.10970620511597e-16,1.47248763662229e-05,-3.08387091503329e-16,-0.000110872005498473,2.40691004380736e-07,-0.000326126308707214,2.85437311252068e-17,-6.64789787824841e-17,3.55474973230106e-05,9.25378052454525e-17,-2.14811356484544e-16,4.71930884846707e-17,3.77385285059949e-17,1.42343733543314e-05,-4.59574084168658e-17,6.22241149602304e-16,5.96818720228055e-06,3.28890722756724e-16,2.72566439832514e-16,0.000383856557327122,-8.27358195275948e-06,3.01546209929274e-16,-3.16754825727977e-16,-8.89392726133309e-15,3.8126111454396e-16,-1.12773544771805e-06,8.04509277001118e-06,-3.48789169875585e-16,-1.10396602466913e-15,-1.10882906831902e-14,2.21225848870824e-16,1.18847235955659e-15,-1.79404982294489e-15
"t25",-0.107343107650663,-0.0456572521818702,0.148582107074925,0.00511655518331374,-0.00751777643287974,0.00172108506313276,-0.00358513314638423,0.0147838521930389,-0.0670783155909922,-0.213783006611749,0.00218900206989766,0.00581327955025239,0.443683129126206,0.0615124858791883,0.00112598273451763,0.00726997592471719,-0.105310848982816,0.0020517057405616,4.55802398006817e-05,0.430989054000965,-0.000223456913726979,-8.72818655312442e-06,-0.00371296305622664,0.00125781323046379,-0.000157602395036517,-0.000134614929425647,-1.75025047976763e-05,-0.00586945120959099,0.0634480823938278,0.00546127097086205,-3.04034871985195e-06,0.000298714812146932,2.63273919946025e-06,-0.00427326785226826,-0.000242466662833841,-8.26846314419996e-16,-4.61539899800927e-06,0.00134183169474035,0.000153155037994787,0.0233771583349865,-1.49552639803145e-15,-5.50602083109516e-16,-0.000169658571355,0.000106287547440238,0.000104803465489615,2.0413639767011e-05,-6.46069418558842e-05,4.91593203596891e-15,-5.24361207524571e-16,0.707106781186548,-9.42795370723072e-15,-2.98739631450277e-05,9.53443097531699e-06,5.52990965121676e-06,8.51854547762478e-05,-4.74024254751153e-05,-1.66442655143232e-05,-5.94882144708446e-05,7.82663757829289e-05,0.02159198770051,0.039449563312263,1.00596232421805e-18,-1.93587328766497e-05,-0.000605516480243314,4.73422166529546e-06,0.000293519130671058,-6.72148785980562e-06,9.94904652423411e-17,-1.12920249052224e-05,-1.82329690952725e-05,-1.24585214009016e-16,-1.43229806567346e-16,1.18373076931793e-05,4.73469433960862e-17,-8.93649985962887e-05,1.94149892255007e-07,-0.000263075656568488,-5.84971297818107e-16,4.54665750978593e-17,2.89137526805618e-05,4.1475324182009e-16,-3.10272459419114e-16,2.94081267586165e-16,-2.20964554659788e-16,1.16276201375668e-05,5.22420988766951e-16,-1.3228577268649e-15,4.87895199741493e-06,2.50219709971753e-16,-1.26566903457332e-16,0.000314353426712916,-6.79050014193731e-06,2.73664916191421e-16,-4.22507433114845e-17,-7.82100079144143e-15,9.8007137219944e-17,-9.32394589598801e-07,6.65321215185893e-06,1.77736192829338e-16,-9.80351088747298e-16,-1.14447423213496e-14,4.42426493390605e-16,1.05491436927968e-15,-2.07053454101275e-15
"t26",-0.107343107650663,-0.0456572521818702,0.148582107074925,0.00511655518331374,-0.00751777643287975,0.00172108506313278,-0.0035851331463842,0.0147838521930389,-0.0670783155909924,-0.213783006611749,0.00218900206989776,0.00581327955025238,0.443683129126206,0.0615124858791884,0.00112598273451761,0.00726997592471781,-0.105310848982815,0.00205170574056151,4.55802398006842e-05,0.430989054000965,-0.000223456913727035,-8.7281865530604e-06,-0.00371296305622685,0.00125781323046387,-0.000157602395036484,-0.000134614929425579,-1.75025047982749e-05,-0.00586945120959095,0.0634480823938284,0.00546127097086101,-3.04034871950118e-06,0.000298714812147658,2.63273919887071e-06,-0.00427326785226845,-0.000242466662833676,4.36032376091122e-16,-4.61539899846716e-06,0.00134183169474022,0.000153155037994577,0.0233771583349885,2.77806070600444e-16,4.82977505127579e-16,-0.000169658571357745,0.000106287547443197,0.000104803465485373,2.04136397670565e-05,-6.46069418546173e-05,-4.90285539737795e-15,5.61898036374644e-16,-0.707106781186548,8.41888141361867e-15,-2.98739631303655e-05,9.53443098192909e-06,5.52990965270004e-06,8.51854547778158e-05,-4.74024254776622e-05,-1.66442655173918e-05,-5.94882144752933e-05,7.82663757858471e-05,0.0215919877005108,0.0394495633122595,1.65898064768498e-15,-1.93587328732236e-05,-0.000605516480241693,4.7342216646834e-06,0.000293519130674762,-6.72148786084602e-06,-3.36065220141502e-16,-1.12920249055167e-05,-1.82329690948665e-05,9.22318437862769e-17,3.03022540235552e-16,1.18373076932325e-05,-1.51463414706788e-16,-8.93649985939792e-05,1.94149892853913e-07,-0.000263075656572684,3.03207121882013e-16,-1.18760638751625e-16,2.89137526804898e-05,-4.10975132744982e-16,-2.26173342903316e-16,-5.78917039236224e-16,2.29926908066962e-16,1.16276201367072e-05,-1.66303111152735e-16,1.00861062484804e-15,4.87895199907224e-06,-1.34725136987328e-16,7.7323249739307e-16,0.000314353426713372,-6.7905001417196e-06,3.21004088790208e-16,4.33499853850021e-17,-7.93375781737993e-15,6.41927384746876e-16,-9.32394589838564e-07,6.653212152088e-06,-6.00511991214989e-16,-1.750568312081e-15,-1.12105546520927e-14,7.33154656559558e-17,1.3036401467659e-15,-2.14804521667551e-15
"t15",0.0286436113974608,0.00333340008036226,-0.00113108927004471,-0.0144547122366011,0.00665493809592919,0.050695926786043,0.00828957839253063,0.147304784288357,-0.401990530675406,0.135491705766934,-0.283726612483901,-0.0572318087683231,-0.0283165834055033,0.0672811984608344,0.0115455984800641,0.0233447796575739,-0.0202173682983186,-0.00416259274070018,0.000259598419765813,0.00163915348454412,0.0118272940489422,-0.000317655749975351,-0.0315360396936242,0.00635055950118482,-0.00319609250100723,-0.00170429917088124,-0.000104630937291742,-0.00144758060304095,0.000978752819688969,-0.00183085465725234,-5.14024243474801e-05,0.00121707187002201,-1.79285421068856e-06,0.014043325628792,0.00085641023502457,-5.7134728727128e-15,5.53443247255066e-05,-0.0213563298054415,-0.832345809338916,0.00123100093751035,-1.00805319340023e-15,9.22526596056329e-16,-0.00295089294426943,0.00167190632953241,0.00065109472989752,0.000292996770721017,-0.000388018410154413,-3.14340374573928e-15,-3.05043779477471e-16,1.16391882612892e-16,-1.08019947584719e-15,-0.000141180327613618,9.66264929768508e-05,2.22107696711772e-05,0.000664640088239977,-0.000117705157276928,-3.55251124305394e-05,-0.000112504435261739,0.000222299755865454,0.0134156738958043,-0.00406566458775187,-6.36839541051794e-16,-9.08064100710437e-05,-0.00509300572524833,3.38805194013916e-05,1.14354553297081e-05,-6.79444129292155e-06,3.11741631009837e-16,-7.07022328570016e-05,-0.000270149073673738,5.45992153775643e-17,2.24108578153483e-16,0.000170346166665001,7.92378234363982e-16,-6.22823474270556e-05,1.11054935444012e-06,-1.12044098478903e-05,3.43975719246476e-16,-7.53931883331258e-17,1.29328580316445e-06,-1.42276246982645e-16,-1.0223366854784e-16,-9.81038049773601e-17,-2.19909664975064e-17,0.00013385993700682,1.38190734069808e-16,-1.11496669984951e-16,5.57494292397992e-05,1.76380390677652e-16,2.23394650227862e-16,1.45117467545713e-05,-7.4855332841226e-05,2.94389479341007e-16,-4.29543864326551e-17,-8.46198111581487e-15,4.17657100656515e-16,-9.69118738929299e-06,5.73392254681406e-06,-1.56758064681619e-16,-1.42518160947774e-15,-1.1537127617899e-14,2.75190334293797e-16,1.17882580017925e-15,-2.20839138406906e-15
"t21",0.0288476547608423,0.00336553353507623,-0.00114264906111783,-0.0146749917505174,0.00676098192649252,0.0523005883044008,0.00856783979628152,0.155147653194124,-0.425656080552229,0.143967145500745,-0.304462341929713,-0.061743747170815,-0.0311958850955613,0.0750044913132346,0.0129537256289575,0.0266312993815799,-0.0235480536206506,-0.00490584503379455,0.000312036230957647,0.00200001800370568,0.0149329155330523,-0.000406740303168988,-0.0413193350379824,0.00874839686997321,-0.00449938188532308,-0.00247843339899895,-0.000171966924866928,-0.00252245376483701,0.00181216405422447,-0.00341333510086458,-0.000104817639318555,0.00285780390647524,1.94970793627623e-05,-0.035453624596859,-0.00203493881749025,3.57438452710136e-15,-5.56428949648693e-05,0.0185711656010691,0.390176423008225,0.000290471246646895,7.38187219732531e-16,-1.88980042474783e-16,-0.00120594862139678,0.000746394371963139,0.00030692240684033,0.000141484033704932,-0.000189308116971755,0.707106781186549,-1.05123933120748e-15,-5.5667061877275e-15,3.36256863371026e-15,-8.28875823666039e-05,5.75308336484885e-05,1.3885335000987e-05,0.000422237388852695,-7.80078188778852e-05,-2.36917968866213e-05,-7.53015480517967e-05,0.000149038509767547,0.00909382310019349,-0.00276824893250374,7.3385137575686e-16,-6.37363617198173e-05,-0.00367814667888929,2.48119717193098e-05,8.45305259766764e-06,-5.03424871315002e-06,-1.41791393522235e-16,-5.27719330571859e-05,-0.000202194853345283,-2.01257364492904e-16,1.89580363356246e-16,0.000128037440873788,-9.00370962641834e-16,-4.72075738048805e-05,8.43755380530665e-07,-8.51377028991493e-06,-3.57985846634454e-16,1.41799774659569e-16,1.0068913265849e-06,1.6791407373075e-15,-8.86020811334419e-17,-8.18666012332261e-17,9.84631783401404e-17,0.000105429679170806,1.7384710458601e-16,-5.55899795474718e-16,4.39969239342294e-05,1.67549443355002e-16,2.17852574696439e-16,1.15047557704292e-05,-5.96758094440368e-05,-2.89105789291472e-16,-8.25084789849737e-17,-8.12544476147536e-15,4.79591464623693e-17,-7.86221605237603e-06,4.6544220719235e-06,-4.67116476210075e-16,-1.22006119356704e-15,-1.1490352442452e-14,2.57249837691032e-16,1.23334355023184e-15,-1.8550772139863e-15
"t22",0.0288476547608423,0.00336553353507624,-0.00114264906111783,-0.0146749917505174,0.00676098192649254,0.0523005883044008,0.00856783979628153,0.155147653194124,-0.425656080552229,0.143967145500745,-0.304462341929713,-0.0617437471708149,-0.0311958850955613,0.0750044913132346,0.0129537256289586,0.0266312993815793,-0.0235480536206506,-0.0049058450337948,0.000312036230957646,0.002000018003706,0.0149329155330526,-0.000406740303168946,-0.041319335037982,0.00874839686997395,-0.00449938188532345,-0.00247843339899932,-0.000171966924867123,-0.00252245376483668,0.00181216405422462,-0.0034133351008652,-0.000104817639317939,0.00285780390647425,1.94970793629087e-05,-0.0354536245968589,-0.00203493881749085,7.71071389922717e-16,-5.56428949646258e-05,0.0185711656010677,0.39017642300823,0.000290471246637665,-6.03260666225535e-17,-7.07981190196984e-16,-0.00120594862140533,0.000746394371981658,0.000306922406877071,0.000141484033703429,-0.000189308116995552,-0.707106781186546,1.29153689950159e-15,5.63960746708365e-15,-2.8199858346711e-15,-8.2887582365363e-05,5.75308336472477e-05,1.38853350004892e-05,0.000422237388850262,-7.80078188780472e-05,-2.36917968869434e-05,-7.53015480511231e-05,0.000149038509767006,0.00909382310019451,-0.00276824893250238,-4.79310358402605e-16,-6.37363617157771e-05,-0.00367814667888546,2.48119717195682e-05,8.45305260195206e-06,-5.0342487131266e-06,-5.01675403029632e-16,-5.27719330574229e-05,-0.000202194853345734,8.4072426022165e-17,-2.56016802979153e-16,0.000128037440873777,-9.01638952242576e-18,-4.72075738100483e-05,8.43755380801584e-07,-8.51377029018106e-06,-5.9613408766296e-17,-1.94674149886229e-16,1.00689132670466e-06,-1.76255063902999e-15,-2.01552220449336e-16,-2.78268613472367e-16,1.61454440310333e-17,0.000105429679170651,2.58517086567115e-16,3.2187028337749e-16,4.39969239334677e-05,3.35441202062037e-17,6.06231073461122e-16,1.15047557671413e-05,-5.96758094432662e-05,6.76772662443339e-16,-2.44839880772806e-18,-8.77943551191862e-15,5.11655567547203e-16,-7.8622160524147e-06,4.65442207229244e-06,-9.88099949660692e-17,-1.28598068565415e-15,-1.13723912460857e-14,1.39695774812422e-16,1.18412559190379e-15,-1.99747822803413e-15
"t31",0.0938071165903302,0.10493225576211,0.037150531249013,0.139127273400898,0.016394222087969,-0.00785270693171185,-0.00110389960222219,-0.00317594131796487,0.00348581802478097,-0.000347561452030577,0.00237075418423014,7.24463526873258e-06,0.00135310603802681,-0.00994294005761995,-0.0143679929979007,-0.281322285569919,-0.0117351509944873,-0.00190275253431001,0.000341485880720813,0.000618596602313747,0.0123132473326879,-0.000309827228647352,-0.0133969125488911,0.00657308580362873,-0.171875908471371,0.00296271448787692,-0.0478644060587764,-4.26265858898267e-05,4.90071050512316e-05,-9.45984381041754e-05,-3.38636492386324e-06,9.32037341043226e-05,3.18899741610135e-08,0.000390581199970778,2.3959291751648e-05,4.19980819041665e-16,1.1085508783489e-06,-0.000363382891722787,-0.00026854739360259,-0.000340269638138879,-5.74743480968085e-16,1.03930119199479e-15,0.683592300871559,0.00923215141093338,0.0007777374999634,0.0974363557707501,-0.000290742691458699,-4.4741775854922e-15,1.22695568969782e-15,1.63965897390777e-15,2.26528494112e-14,-8.70094420340947e-05,0.59985600919072,8.60880424315691e-06,0.0309492747690535,-3.75868807700826e-05,-1.1326118324031e-05,-3.58263081819252e-05,0.0001592644825887,0.0042336660756509,-0.00127858101361081,-9.95287133152489e-16,-2.7793475847096e-05,-0.00151951440902202,1.00056403406845e-05,3.36674799788248e-06,-2.00198332634544e-06,-1.42629200854744e-16,-2.15395172955872e-05,-0.00865587892058101,9.24275414161681e-19,-5.79320883841955e-18,0.000135704408309259,-8.27094520176008e-17,-1.75087511662363e-05,3.12237284522939e-07,-3.150151910108e-06,3.76902266814686e-16,-1.1200192332355e-16,3.59591322305143e-07,-5.35460753029374e-16,-2.96478938653319e-16,4.63844399145478e-17,-1.82585939266005e-17,0.000103223626812823,-4.51987088392844e-17,-1.55683217216854e-16,0.00143305269304374,1.54471213558757e-16,3.39534371478196e-16,3.98931927476306e-06,-5.67733137794942e-05,2.80802463712678e-16,-1.43934471963549e-16,-7.2927774930065e-15,3.5997691514937e-16,-0.000221878084480167,1.55999491703219e-06,-3.13747767991583e-16,-1.62869001985069e-15,-1.34071792199203e-14,1.83131541449978e-16,1.10440896371089e-15,-2.13892865889523e-15
"t34",0.0941267819305953,0.105416230360047,0.0373321996789431,0.140142087332257,0.0165192656855618,-0.00797179264075156,-0.0011216546974604,-0.00325703346424914,0.00358425089062454,-0.000357991050747764,0.00245389624285341,7.51873945366473e-06,0.0014191614367956,-0.0104909569145201,-0.0152093877102157,-0.300337712976744,-0.0126631367840161,-0.00206579323633952,0.00037457053387994,0.000683882738660359,0.0138609036770554,-0.000351387896149433,-0.0153821359221669,0.00775437688914847,-0.205175907491963,0.00360024753097213,-0.062262007577535,-5.73067935108126e-05,6.81914721169109e-05,-0.000132148549556487,-4.97890550400162e-06,0.000148576475976302,6.62654573856369e-07,-0.000778927892858937,-4.29970316032111e-05,-1.77023559158888e-16,-3.86419817233678e-07,8.55839555538173e-05,-1.98708008337304e-05,-0.000182692293801956,-5.54438144569544e-16,3.46266335252288e-16,0.427652660346948,0.0059061461661835,0.00050268321034524,0.0631576115065698,-0.000188599080953868,-1.65491008113127e-15,-5.78252669213418e-16,-4.32717259781799e-15,-3.85291768487233e-14,-1.85914364755367e-05,-0.789969412988418,8.71657064065619e-06,0.0295635976022765,-3.38082929184866e-05,-1.01479584128109e-05,-3.20381218776626e-05,0.000142308822940083,0.00376664910666421,-0.00113605123326115,1.00798573432306e-15,-2.45974451972934e-05,-0.00134695400329259,8.8873961522062e-06,2.9955880388875e-06,-1.78211656318671e-06,-2.20049569077633e-16,-1.9203943007513e-05,-0.00772210232941337,-9.86109523439772e-17,5.68176285122363e-16,0.00012118479976176,4.95088537622351e-16,-1.56679562065533e-05,2.7958218284561e-07,-2.82078788298782e-06,2.63553536316298e-16,-4.42038438310025e-17,3.24225943985581e-07,3.13487677028777e-16,-3.54376066880021e-17,-4.04245634703221e-16,1.07808984237541e-16,9.34095766404182e-05,-8.14596500062105e-17,-4.84956587392136e-17,0.00129764303678427,3.24042143258581e-16,4.73167204088917e-16,3.61774995151211e-06,-5.158116775111e-05,3.94579829265732e-16,-2.86202394118162e-16,-7.10889680455296e-15,3.26563877223376e-16,-0.000202815126921441,1.42625467994205e-06,1.34921052671151e-17,-9.99593094531132e-16,-1.18766333306939e-14,2.48125271085893e-16,1.43225533308057e-15,-1.89142909476003e-15
