"","Galium_ciliare","Galium_binifolium","Galium_concinnum","Galium_eriocarpum","Galium_sterneri","Galium_porrigens","Galium_tinctorium","Galium_trifidum","Galium_bifolium","Galium_album","Galium_lucidum","Galium_mexicanum","Galium_mollugo","Galium_verum","Galium_odoratum","Galium_saxatile","Galium_parisiense","Galium_murale","Galium_uliginosum","Galium_triflorum","Cruciata_glabra","Asperula_molluginoides","Crucianella_gilanica","Rubia_tinctorum","Kelloggia_galioides","Coprosma_robusta","Coprosma_quadrifida","Coprosma_rhamnoides","Coprosma_foetidissima","Opercularia_varia","Richardia_stellaris","Spermacoce_breviflora","Knoxia_sumatrensis","Psychotria_marginata","Psychotria_brachypoda","Psychotria_papantlensis","Psychotria_suterella","Palicourea_guianensis","Palicourea_acuminata","Coussarea_contracta","Coussarea_suaveolens","Randia_pterocarpa","Randia_armata","Gardenia_ovularis","Gardenia_ternifolia","Genipa_americana","Coffea_canephora","Coffea_racemosa","Coffea_arabica","Coffea_liberica","Coffea_congensis","Cyclophyllum_coprosmoides","Ixora_pendula","Ixora_peruviana","Posoqueria_latifolia","Calycophyllum_candidissimum","Pentagonia_macrophylla","Isertia_haenkeana","Guettarda_tikalana","Guettarda_odorata","Hintonia_latiflora","Hamelia_patens","Macrocnemum_roseum","Stephanostegia_capuronii","Asclepias_ovalifolia","Asclepias_speciosa","Asclepias_oenotheroides","Asclepias_albicans","Asclepias_erosa","Asclepias_eriocarpa","Asclepias_cordifolia","Asclepias_amplexicaulis","Asclepias_fascicularis","Calotropis_gigantea","Hoya_australis","Nerium_oleander","Tabernaemontana_sananho","Tabernaemontana_siphilitica","Tabernaemontana_alba","Lacmellea_panamensis","Catharanthus_roseus","Carissa_macrocarpa","Aspidosperma_polyneuron","Aspidosperma_cylindrocarpon","Alstonia_scholaris","Fagraea_berteroana","Chironia_linoides","Eustoma_exaltatum","Gentianella_parviflora","Gentianella_campestris","Gentianella_amarella","Gentianella_insubrica","Gentianella_germanica","Swertia_pseudochinensis","Gentiana_clusii","Gentiana_sceptrum","Gentiana_andrewsii","Gentiana_affinis","Gentiana_scabra","Centaurium_tenuiflorum"
"Galium_lucidum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.086866,0,1.092604,1.707582,1.9662,4.638522,4.808044,4.808044,4.808044,4.861554,5.468018,12.89551,13.736098,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_mexicanum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.092604,1.092604,0,1.707582,1.9662,4.638522,4.808044,4.808044,4.808044,4.861554,5.468018,12.89551,13.736098,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_mollugo",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.707582,1.707582,1.707582,0,1.9662,4.638522,4.808044,4.808044,4.808044,4.861554,5.468018,12.89551,13.736098,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_verum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,1.9662,1.9662,1.9662,1.9662,0,4.638522,4.808044,4.808044,4.808044,4.861554,5.468018,12.89551,13.736098,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_odoratum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.638522,4.638522,4.638522,4.638522,4.638522,0,4.808044,4.808044,4.808044,4.861554,5.468018,12.89551,13.736098,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_saxatile",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,4.808044,4.808044,4.808044,0,3.839764,3.839764,4.861554,5.468018,12.89551,13.736098,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_parisiense",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,4.808044,4.808044,4.808044,3.839764,0,0.565352,4.861554,5.468018,12.89551,13.736098,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_murale",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,4.808044,4.808044,4.808044,3.839764,0.565352,0,4.861554,5.468018,12.89551,13.736098,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_uliginosum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.861554,4.861554,4.861554,4.861554,4.861554,4.861554,4.861554,4.861554,4.861554,0,5.468018,12.89551,13.736098,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_triflorum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,5.468018,5.468018,5.468018,5.468018,5.468018,5.468018,5.468018,5.468018,5.468018,5.468018,0,12.89551,13.736098,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Cruciata_glabra",12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,0,13.736098,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Asperula_molluginoides",13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,0,9.58422,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Crucianella_gilanica",13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,9.58422,0,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
