"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102"
"t54",0.0474313665105623,-0.0192646588269296,0.0519119992764636,0.298250839237854,-0.0514947806894756,-0.0208446761417995,0.0312299714302944,0.0213204282947663,-0.00237406854663041,0.00873793217453534,0.00053558998177766,0.00412632919108825,-0.0005016322878492,-0.00580178614960792,-0.00108212506383973,0.000903850021980793,0.0033927778046188,-0.309810826331254,-0.0310640166268081,0.0147461912148542,-0.0104634388607609,-0.00117169489798794,-5.31662950514031e-05,-2.34381583049224e-05,-3.7355057956076e-05,0.0575116994841889,-0.00299169554543709,0.000285320677699971,-1.17557250349271e-07,-7.79959739485395e-07,8.53483950180589e-16,4.5072218932349e-05,-9.85465765448995e-05,1.36238645919372e-06,0.00235797852876401,-1.19243893180471e-16,5.15316070711085e-06,3.18906618252097e-06,-2.73142485874837e-05,-0.000143875587199149,0.000131273575883093,8.36930016248551e-05,0.00038604505096223,5.42259308709298e-05,-0.000342435274448976,0.0012613678545562,-0.12053640534536,0.00285196339141914,0.000171205560086221,0.0222670412224466,2.48077486528938e-05,-1.30013344665608e-05,5.30777831080843e-07,-1.03067654359932e-06,1.24059136620151e-16,-3.45770035703936e-15,4.25701724253795e-16,-2.23987265978151e-07,-1.32378073677886e-07,-5.04879810697089e-15,1.26747673669258e-15,0.525096213701703,-1.47293952567364e-15,-4.33225606894799e-07,-2.92491056569021e-05,4.61759819349427e-05,-7.78322181079488e-15,-1.56255005905208e-16,-3.09635320470209e-15,4.50784559944313e-15,6.77378698704495e-06,-3.55098517647454e-06,8.54412714904849e-06,-6.32219535109384e-06,-1.84657331101387e-13,-0.707106781186548,-1.68542734480458e-14,-4.33296211760018e-14,5.51304829148462e-15,8.90784878638223e-06,2.84587377336831e-06,-7.09094106040257e-06,-7.21069698654958e-16,-2.74267745944523e-15,1.41611309233428e-15,-2.24842275612069e-15,6.61379839595024e-16,1.42382412504172e-15,1.18969673764091e-05,-2.96207542261633e-16,1.91090825390373e-15,-4.83444229365456e-06,-6.05222351104216e-07,3.18825326235691e-15,1.50445491998547e-15,6.57994517808275e-16,-1.00892420441034e-15,-1.14263171269988e-15,-5.54701202551715e-15,2.38060739014872e-15,1.03920536481393e-14,-3.11636834031439e-14
"t80",0.047601257216501,-0.0193440602876841,0.0522259790814392,0.30051813388325,-0.0520515797371119,-0.0211323834275487,0.0318326150082443,0.0217450657107375,-0.00244087337123689,0.00903332755036921,0.000554421707390058,0.00428364586810459,-0.000521323892511819,-0.00606847809695426,-0.0011367201512364,0.000954346422569757,0.00365046564375734,-0.334480043404749,-0.0336184475416761,0.0159822283828059,-0.0113691804215453,-0.00128246090798208,-5.85636164078392e-05,-2.60554667774792e-05,-4.20685961265684e-05,0.0650793475641774,-0.00339889853406225,0.000325654368833035,-1.34749511992451e-07,-9.02031577725012e-07,-3.46944695195361e-16,5.40397700262019e-05,-0.000125931909519924,1.77374042509453e-06,0.00307462120881396,4.67548893722466e-16,6.84377764335588e-06,4.2363766123169e-06,-3.71348066213538e-05,-0.000199940816092364,0.000194004969639359,0.000136207766669618,0.000631812911515486,9.11973229949065e-05,-0.000596638554125416,0.00219957509146895,-0.223670060324518,0.00533453739409288,0.000337667557498567,0.0470954213146039,5.33930563605914e-05,-3.01436611517731e-05,1.61246157232816e-06,-3.77752723905432e-06,-6.4101552976632e-16,5.20480675797361e-15,-2.59748327550375e-15,-2.28230963343953e-06,9.21239292539761e-07,5.38529064595534e-15,-2.65430262298398e-16,-0.468914806712496,2.71017087872297e-15,2.65224976786685e-07,1.01971764435683e-05,-1.56112467229657e-05,-6.59249766256502e-16,-8.57480528179997e-17,7.41654256122679e-16,-2.47967618733647e-15,1.27596814550925e-06,-1.06756331223439e-06,2.94629336614171e-06,-2.214354511431e-06,-5.22535225394224e-16,9.75580360335805e-17,5.49091810411157e-16,-2.88961605222716e-15,-5.62751797026558e-16,4.06834766634218e-06,1.3022866536512e-06,-3.70395861724837e-06,-5.27864315725621e-16,1.04658780380116e-15,1.55764035877254e-15,2.17423112888337e-16,1.92210581520956e-15,1.63513808443503e-15,7.15246283524341e-06,0.707106781186548,-2.02856439908773e-14,-3.06555002541734e-06,-3.9094358779332e-07,3.05819646048868e-15,4.79478867546204e-15,-2.06314906301941e-15,7.96540878416423e-16,-1.87172681614391e-15,-2.32250944178883e-16,2.51794406112635e-15,1.15332417184741e-14,-3.13886499778695e-14
"t81",0.047601257216501,-0.0193440602876841,0.0522259790814392,0.30051813388325,-0.0520515797371119,-0.0211323834275486,0.0318326150082442,0.0217450657107375,-0.00244087337123692,0.00903332755036926,0.000554421707390108,0.00428364586810449,-0.0005213238925117,-0.00606847809695429,-0.00113672015123667,0.000954346422569327,0.00365046564375743,-0.33448004340475,-0.0336184475416765,0.0159822283828058,-0.0113691804215455,-0.00128246090798222,-5.85636164076372e-05,-2.60554667773314e-05,-4.20685961265037e-05,0.0650793475641771,-0.00339889853406256,0.00032565436883371,-1.34749511891837e-07,-9.02031578624561e-07,1.38777878078145e-17,5.40397700259785e-05,-0.000125931909520086,1.77374042498231e-06,0.00307462120881419,4.09838844938194e-16,6.84377764236763e-06,4.23637661219564e-06,-3.71348066212512e-05,-0.000199940816092369,0.000194004969639682,0.000136207766670371,0.000631812911515214,9.11973229973594e-05,-0.000596638554125395,0.00219957509146886,-0.223670060324518,0.00533453739409335,0.000337667557498745,0.047095421314605,5.3393056360949e-05,-3.01436611489557e-05,1.61246157224149e-06,-3.77752723914718e-06,-4.6138650819382e-16,4.35826170171188e-15,-2.82905948341705e-15,-2.28230963325475e-06,9.21239291178633e-07,5.24020950866289e-15,-2.49391181518023e-16,-0.468914806712497,2.74599158100952e-15,2.65224976530441e-07,1.01971764441474e-05,-1.56112467226906e-05,-3.26182858877477e-16,-2.22292737522216e-15,1.20578004049362e-15,-2.43347257593523e-15,1.27596814123044e-06,-1.06756331165028e-06,2.94629336673119e-06,-2.21435451086563e-06,7.82150265350615e-16,-3.98572878031871e-16,-3.55317365130469e-16,-1.89041533006454e-15,1.77907701439848e-16,4.06834766682518e-06,1.3022866450782e-06,-3.7039586146697e-06,5.42315842564468e-16,-4.19904329185453e-17,-1.46636025019188e-15,1.18510757695979e-15,-1.77912186858494e-15,-5.73115811315225e-16,7.15246281439693e-06,-0.707106781186547,1.9260847090966e-14,-3.06555003474622e-06,-3.90943596103505e-07,9.18193165683181e-17,-3.96697561124329e-15,2.36298178745402e-15,-3.6126390051936e-17,1.64616803623165e-15,-8.82772247670238e-16,2.27772727771775e-15,1.11654287374792e-14,-3.06947605876615e-14
"t29",0.0457732324174469,-0.0184871592285862,0.0488008169001792,0.275563821747634,-0.0458060788951269,-0.0178452572643935,0.024695184596541,0.0166944741912845,-0.0015969074343675,0.00512359613441935,0.00030220610429389,0.00211916604216716,-0.000247487333810699,-0.00209703799447295,-0.000280880452275028,0.00010589545218413,-0.0026109583586569,0.327344942420593,0.0406222308385761,-0.0219249077083005,0.0194314629406126,0.00444259958537775,0.000511214643299427,-0.000395440763810792,-0.000169789255571926,0.214890423124177,-0.00983294117062161,0.000829853007984466,-3.1065962491166e-07,-1.74784533079775e-06,-1.31145094783847e-15,6.36754305060635e-05,-6.54195856890532e-05,6.57967643704948e-07,0.00110451269686699,-5.39433481244442e-16,1.52145339565993e-06,9.34076893149945e-07,-2.09915635321722e-06,1.83352734323647e-05,-9.28586911414675e-05,-0.000133307343690299,-0.000632629609552301,-9.97674261521668e-05,0.000689672431599902,-0.00254339371559604,0.209453132763324,-0.00455125895155479,0.000165098494371787,0.840379941956584,0.00674644404333637,0.00045798465566184,-2.91885981608344e-05,0.000124797362779022,3.71724065527852e-16,2.56470271826649e-15,1.20319241167455e-15,-5.22181859905766e-05,6.71352194881278e-06,-3.1488036296999e-16,1.18901447577828e-16,-0.00667965207866086,6.76797281676397e-16,-4.76692568003917e-07,-5.63199701175295e-05,9.02135731863002e-05,-3.32058617288302e-16,2.32589571029725e-15,5.62871716530313e-16,-2.24946920303587e-16,1.90187852873657e-05,-1.00547111637773e-05,2.41238696640167e-05,-1.78396572201554e-05,-5.85746718431335e-16,3.59538651534086e-16,4.26714719087595e-16,-1.59349019072499e-15,-4.95832376913248e-16,2.45511428265662e-05,7.8412621910104e-06,-1.90290376386082e-05,3.22704142667246e-16,-1.58243930059078e-16,-2.86644424628126e-16,2.16081579609988e-16,4.13136936068265e-16,-1.00557349966905e-15,3.04749896104155e-05,3.58300903152967e-16,6.05121228769879e-16,-1.20797822857756e-05,-1.49746530012035e-06,8.55473606347532e-17,-1.89714030576062e-17,3.08671614424396e-17,-1.43353810367828e-16,-1.75476453662954e-16,-1.47316442036606e-15,2.53047192256434e-15,1.11899567501091e-14,-3.03589836745813e-14
"t77",0.0461872210563181,-0.018679844735032,0.0495511613625582,0.280911951015375,-0.0470818360693636,-0.018485006739566,0.0259522810778692,0.0175731508879079,-0.00171850538595407,0.00560018487500629,0.000331561231753243,0.00234435732003982,-0.000274658099858023,-0.00237220099059722,-0.000321898071927253,0.000123314310634516,-0.00323459848412889,0.410350400693761,0.0513558098255772,-0.0278628028821476,0.0249186199529223,0.00585219986351191,0.000689916840604944,-0.000553450848123144,-0.000250999402078893,0.324493519705638,-0.0151207342556063,0.0013039436083855,-4.98261162303407e-07,-2.93152290306196e-06,4.64905891561784e-16,0.0001320342281538,-0.000246842734935025,3.33265341263614e-06,0.00575817021312847,2.67141926042853e-16,1.23516944170029e-05,7.64215256964454e-06,-6.41927354061995e-05,-0.00033280246297539,0.000291488937552511,0.000168896684085472,0.000772315443097274,0.000103051021653405,-0.000588125483937855,0.0021596808305507,-0.133318792937976,0.00280094309316957,-8.23738948226342e-05,-0.327158105007357,-0.00247781773564696,-0.000132860718484019,3.89750804348377e-06,-9.62772800384525e-06,-6.74118132346718e-17,-7.5853640809777e-16,-9.94930675493002e-16,-1.76144644937447e-06,7.65347991278317e-07,1.88320771512168e-16,3.35363601607875e-16,-0.0015003153090482,1.72216562553602e-16,-1.17322198970313e-07,-1.53582950753554e-05,2.47123635667371e-05,-1.51348379937135e-15,8.12481361735707e-17,-7.28564072784566e-16,-1.7011304954316e-16,6.91360393773175e-06,-3.96176717223923e-06,9.839182635888e-06,-7.307840303447e-06,-2.69871889736628e-16,-2.31707624445324e-15,-2.63842688757901e-16,-2.54863641873595e-15,-1.84078892188875e-15,1.10205336864381e-05,3.52266653310897e-06,-9.09549545474625e-06,-6.26036022474146e-16,-7.70293162216661e-16,-2.29729637078146e-15,4.11666253038915e-15,2.36782320828849e-14,-0.707106781186548,1.58317578382801e-05,6.89953181705706e-16,5.17832788006593e-15,-6.51650895022991e-06,-8.1923657226263e-07,3.25845117320767e-15,-2.73875576999013e-17,2.82046105867499e-17,-4.43375783913436e-16,-6.65525719527543e-16,-1.23455924495868e-15,2.8638258188312e-15,1.11277815437497e-14,-2.62164498514271e-14
"t78",0.0461872210563181,-0.018679844735032,0.0495511613625582,0.280911951015376,-0.0470818360693636,-0.018485006739566,0.0259522810778692,0.0175731508879079,-0.00171850538595419,0.00560018487500632,0.000331561231753101,0.00234435732003974,-0.000274658099857997,-0.00237220099059709,-0.000321898071927595,0.000123314310634766,-0.00323459848412947,0.410350400693761,0.0513558098255768,-0.0278628028821474,0.0249186199529219,0.00585219986351191,0.000689916840605083,-0.0005534508481233,-0.000250999402078927,0.324493519705637,-0.0151207342556064,0.00130394360838529,-4.98261162656423e-07,-2.93152290284523e-06,9.0205620750794e-17,0.000132034228153858,-0.000246842734936304,3.33265341261983e-06,0.00575817021312845,1.65889076229397e-16,1.2351694415573e-05,7.64215256993416e-06,-6.41927354060822e-05,-0.000332802462975571,0.000291488937552802,0.000168896684086508,0.000772315443096998,0.000103051021651749,-0.000588125483937434,0.00215968083055058,-0.133318792937975,0.00280094309316982,-8.23738948229832e-05,-0.327158105007356,-0.0024778177356467,-0.000132860718485134,3.89750804353804e-06,-9.62772800407797e-06,-2.53167128048685e-16,1.51502621706285e-17,-7.20950529961432e-16,-1.7614464501387e-06,7.65347993487337e-07,-8.90242505048929e-17,-2.78623715122567e-16,-0.00150031530904602,-4.21031065903806e-16,-1.17322198774748e-07,-1.53582950758977e-05,2.47123635664049e-05,6.04613564810363e-16,-4.46107800521959e-16,6.33987616424005e-16,1.04409996687102e-16,6.91360394053114e-06,-3.96176717278215e-06,9.83918263529155e-06,-7.3078403037498e-06,6.78658670686605e-16,2.73790796445009e-15,-7.33747656337465e-16,4.22372403147754e-15,1.85546048502813e-15,1.10205336896239e-05,3.5226665440065e-06,-9.0954954533995e-06,6.74189253322974e-16,4.97281347807441e-16,2.48356705728201e-15,-3.19289206122829e-15,-2.31855180948839e-14,0.707106781186548,1.58317578496417e-05,-1.91907091512845e-15,-4.6549521435086e-15,-6.5165089491184e-06,-8.19236572106631e-07,-3.41329531539907e-15,7.55610207868311e-16,-1.3963588255745e-18,3.22036019734854e-15,1.41035572406872e-16,-7.92204758584519e-16,2.17335868895416e-15,1.16157564253014e-14,-3.35855551770468e-14
"t3",0.0341843267217403,-0.0136345145221315,0.00707295977109124,0.0190346943255235,0.0329537749298914,0.0331375155141493,-0.231024296855684,-0.23368923873181,-0.00981652825733077,0.0132738479228843,0.00104041563491025,0.00550089062055139,-0.000588279789832093,-0.00272000822918736,-0.000111436086021469,-0.000112107427793857,-0.000901739039739238,0.00506811528130697,-0.00756027458663355,0.00534065317461288,-0.0100941225889159,-0.00329139482649083,-0.000514861584170669,0.00047607350258564,0.00015245851472779,-0.00903642141121907,-0.00885399518387479,0.00224754848970168,-1.72992276622195e-06,-3.81381262739598e-05,1.98799310346942e-15,-0.00459875042740683,0.0165077071600992,-0.000486341688014554,-0.928135750808832,1.04612924463064e-15,0.00865991545654358,-0.0368192977095898,-0.00600184151657031,-0.017469622832555,0.00688189525727445,0.00243493604919546,0.0106415087235885,0.000856981445898766,-0.00385953256355921,0.0121048654599085,-0.00682329545538544,-0.00415837236738921,-0.00177421797528027,-0.00168550876449427,-0.117272213069374,0.000904667919344244,-0.000141760389035481,0.000684485817201841,4.44442713742769e-16,-1.02894843901604e-15,7.40958187250676e-17,-0.000261865843034327,3.64105654985916e-05,-1.90225011371619e-16,-2.1965903117362e-17,-0.000365855045721162,-1.20505755226372e-16,-3.60511515715527e-06,-0.000426549127039342,0.000683345169835537,-8.3119967662648e-16,-9.30349027578708e-17,-1.75428310233334e-16,-2.38756460097695e-16,0.000112984264698675,-5.95069350393367e-05,0.000142388139507799,-0.000105255077672882,-1.83502286345966e-16,2.27002210061097e-17,-3.38698870376741e-16,8.29176200563466e-16,-8.61853421617909e-17,0.000143220820313213,4.57365835395441e-05,-0.000109702662797012,2.48337105050687e-16,-2.05781123002961e-16,2.19415178471651e-17,5.82350245327348e-16,2.24936804970907e-16,-1.90922973091048e-16,0.000218154533609535,-2.8948886035133e-16,-2.39909099227312e-16,-8.52781922109374e-05,-1.05108827472591e-05,9.43032785409715e-16,1.02236340474264e-16,2.43556503324275e-16,1.24619480262768e-15,3.98992312569458e-17,-1.87145261482503e-15,2.68225849769357e-15,1.13729199737614e-14,-3.01653631600129e-14
"t22",0.036513495806341,-0.0147153442145555,0.00792959109960657,0.0220316895294886,0.0408973299884723,0.0441149434112442,-0.35556180881983,-0.366162057101396,-0.0203024801831458,0.0354034128723599,0.00298345768138484,0.0189004182281264,-0.00218745111686473,-0.0199812420711781,-0.00242441508842163,0.0017372186552171,0.00183747403192795,-0.00886384063212142,0.0120040644143255,-0.00802521007653357,0.0138754893230095,0.00361223383035659,0.000478274350471274,-0.000359374284653201,-8.98127645909416e-05,0.00490532813491535,0.00450352591041362,-0.00106373903066588,7.67951311023162e-07,1.49138053528128e-05,-8.50014503228635e-16,0.00114747170641275,-0.00202747231872366,4.79994701635689e-05,0.0899123883146579,7.16043810659796e-17,-0.000661859041086876,0.00280436809796106,0.000321272625494126,0.00060154304773543,8.46072761299578e-05,0.000202999406507269,0.000936612552893046,9.6228191681718e-05,-0.000579252212050262,0.001829027086421,-0.00172986914445635,-0.00113408140037802,-0.00086925509619579,-0.0063533755579582,0.844357981185114,-0.000515048874252471,1.99357391726835e-05,-6.3132586435209e-05,-1.84438811761312e-15,-1.10473876729396e-15,7.26927498418795e-16,7.72732594480724e-06,1.35598495904847e-07,3.21731323684179e-16,1.41559700613299e-16,-1.58179323581225e-05,-1.93539053876052e-16,-1.82470682382143e-07,-2.54794225034392e-05,4.11089991408263e-05,1.62284763177704e-16,-4.16496393932582e-16,2.6529602003856e-16,2.2366749945486e-16,1.03680765764929e-05,-6.1380496432952e-06,1.54443438226825e-05,-1.1489435873386e-05,-2.77134442170261e-17,3.27715575868054e-16,8.41229387947251e-16,-7.07336748236398e-16,-3.9503889548295e-17,1.78915821704862e-05,5.72052433181135e-06,-1.50681833754934e-05,6.07833623039745e-17,-3.06983973691979e-16,-3.16994328177958e-16,1.84406376504393e-16,2.72096291895644e-16,-5.27048438638907e-16,3.41324780579889e-05,-1.32638143771883e-16,3.83587062634726e-18,-1.41838965371802e-05,-1.78925096920867e-06,8.68555104838382e-16,6.28046693954229e-16,5.32743356432044e-18,8.45721516142407e-16,-2.97690184706708e-16,3.52398069777432e-16,2.46413252386886e-15,1.11465850589511e-14,-3.03162823700407e-14
"t56",0.0367674739820268,-0.0148332672416574,0.0080232424806223,0.0223598725152115,0.0417701300259019,0.0453249082687326,-0.369368948927323,-0.380858651519128,-0.0214760551289689,0.0378952509601797,0.00320256816043164,0.0204162832564366,-0.00236858382773297,-0.0219506610377165,-0.00268960855561727,0.00195051456496587,0.00216052113323551,-0.0105136782389708,0.0143276891156794,-0.00961549704364202,0.0167362634673749,0.0044436684246409,0.000598840241152778,-0.00046198999312659,-0.00012007809257047,0.00665809100354559,0.00619185764667141,-0.00148489267430215,1.08750851686261e-06,2.17852443601415e-05,-6.41847686111419e-16,0.00193188869537501,-0.00483629402430187,0.000131755889525552,0.249941596888142,-8.9593815937496e-17,-0.00217944344973433,0.00925826464166023,0.00140058445071164,0.00383549854721544,-0.00133005477847289,-0.000433812272704577,-0.00189578753300901,-0.000153912491228793,0.000717256418332923,-0.00225223167748923,0.00147743881473598,0.000928988357470996,0.000550758309151207,0.00298319447116694,-0.369620915807396,0.000169564118760116,-2.43152385020592e-06,3.23696770594203e-06,7.00882746597886e-16,6.02538043227567e-16,-2.0584059845541e-16,6.34805214638521e-07,2.36447304960144e-08,-1.78686201905141e-16,1.34304939721604e-16,-4.67995455073609e-06,7.10589602529776e-16,-5.81664303250179e-08,-8.83553910559314e-06,1.43085587448327e-05,1.42930172920593e-15,1.28318972889615e-15,9.34408642656789e-16,-2.26545578370681e-16,4.56125974401631e-06,-2.8872457272351e-06,7.47605839311514e-06,-5.58176450440269e-06,-1.22591566660282e-14,1.6863783258505e-14,-0.707106781186548,-2.37871080025319e-14,-1.61391820408942e-15,9.3773684796363e-06,3.00028154407931e-06,-8.31920855840199e-06,-1.09225200925878e-15,8.63599787624301e-16,-2.22615098618416e-16,1.75045749887188e-16,8.51085896931422e-16,-5.12172778613394e-16,2.01867243909274e-05,3.32851714920395e-16,9.83694265737818e-16,-8.65317984593522e-06,-1.10424532299561e-06,-1.9741355367987e-16,8.74155849781216e-17,3.83841657210145e-16,5.99648340655181e-16,-1.87153079141426e-16,-2.70677368914097e-15,2.97432652239126e-15,1.12242742374355e-14,-2.97199993722961e-14
"t57",0.0367674739820268,-0.0148332672416574,0.0080232424806223,0.0223598725152115,0.041770130025902,0.0453249082687326,-0.369368948927323,-0.380858651519128,-0.0214760551289689,0.0378952509601796,0.00320256816043168,0.0204162832564365,-0.00236858382773296,-0.0219506610377164,-0.00268960855561727,0.00195051456496579,0.00216052113323543,-0.0105136782389703,0.0143276891156794,-0.00961549704364218,0.0167362634673751,0.00444366842464069,0.000598840241153057,-0.000461989993126821,-0.000120078092570518,0.00665809100354545,0.0061918576466712,-0.00148489267430269,1.08750851871177e-06,2.17852443603148e-05,-8.04911692853238e-16,0.00193188869537516,-0.0048362940243012,0.000131755889525446,0.249941596888141,-6.46553999326009e-16,-0.00217944344973447,0.00925826464166038,0.0014005844507119,0.0038354985472156,-0.00133005477847298,-0.000433812272704193,-0.0018957875330094,-0.000153912491227826,0.000717256418333054,-0.00225223167748932,0.00147743881473467,0.000928988357470988,0.000550758309151658,0.00298319447116593,-0.369620915807397,0.000169564118762382,-2.43152384988718e-06,3.23696770662697e-06,4.95395838787618e-16,1.3241830092339e-15,-7.33617052881785e-16,6.34805214237854e-07,2.36447331955084e-08,-6.33646077241734e-17,-2.43167919226468e-16,-4.67995454996556e-06,-5.79669748264439e-16,-5.81664310100699e-08,-8.83553910430486e-06,1.43085587438063e-05,-1.48850315738334e-15,-9.30317426449719e-16,-8.54577679193172e-16,7.75787543119733e-17,4.56125974679483e-06,-2.88724572401796e-06,7.47605838662726e-06,-5.58176451691598e-06,1.19807011874656e-14,-1.65816853583429e-14,0.707106781186547,2.3560434550779e-14,1.69055397241932e-15,9.37736847611478e-06,3.00028151860489e-06,-8.31920855637575e-06,1.03886664819067e-15,-1.17637105978969e-15,2.93215161172358e-16,5.8391977081991e-16,-1.1934618560678e-16,-1.09716932792052e-16,2.01867243901097e-05,-7.49615734288059e-16,-1.3408351920711e-15,-8.65317984627511e-06,-1.1042453232819e-06,1.00995398559996e-15,2.60169709289656e-16,-3.37444013849968e-16,6.25669192794386e-16,-2.00820626883342e-16,-7.63883396046906e-16,2.10662909443211e-15,1.14079926266118e-14,-3.12795157770927e-14
"t1",0.0554389333992334,-0.0266610254636461,-0.0334026732648547,-0.00484680616118584,0.0666143576665641,0.0955291142542483,0.000497708669071674,-0.00122809770575202,0.0100592282313117,-0.0117560078515036,-0.0051936841345275,-0.0846595295829775,-0.000817286952946047,0.134294585349913,0.000415974439223616,-0.00135711990242247,-0.0235256663106831,0.0776884371308291,-0.302925612087608,0.092807889888617,-0.91448613593759,0.0389619976347036,0.00288589445550138,-0.00142486128465048,-0.000847912147885206,0.0127873086106583,0.0110040460954234,-0.0024297124545912,1.65712451260917e-06,2.89416411940123e-05,-3.53883589099269e-16,0.00465509126706823,-0.00125688540282273,1.74296503703149e-05,0.0305602291299681,-2.14495475953463e-16,-1.51886446503611e-05,-0.00235245403386416,-0.000185055985240658,-0.000967340439977738,0.000728086357728419,0.00159728309981635,0.0165358156012843,0.000124104135876259,-0.00146622159244267,0.00187336827985609,-0.00129457217481505,-0.00265071421998713,-0.00118567876307075,-0.000512353943810071,0.000855382876732647,0.000172128286829145,-0.000101045132324658,0.000504702882079989,-4.05392480827636e-17,3.70945579445152e-16,-2.10832545863821e-16,-6.49149677745258e-05,9.5567815411848e-06,1.04580605131792e-16,-7.54878217008589e-17,-0.000104452078192686,-2.77578726344526e-16,-3.2499517849113e-06,-0.000399974997170616,0.00177951062870168,5.91338593220158e-16,3.47644788849417e-17,4.13305776310232e-16,-5.36905506438371e-17,3.61822400960726e-05,-1.95921679240952e-05,4.74858542256602e-05,-3.51605602138298e-05,-1.77443706254861e-16,-2.97039233614417e-16,-3.54729072566326e-18,7.63548039481914e-17,-7.65271034500565e-17,4.96687301246584e-05,1.58670336503198e-05,-3.91556700719156e-05,1.32572727326057e-16,-1.79776480352942e-16,-8.70374777493132e-17,2.5685996449777e-16,2.2926932641738e-16,-5.61348166193882e-16,0.000242210753587894,-9.13994727751548e-17,4.69254187820417e-16,-9.63371620305022e-05,-3.23261442250246e-05,9.71403700285894e-17,2.98460604512788e-16,1.15185360553993e-17,6.9610169141058e-16,-3.98973552291393e-16,-1.52836728045323e-15,2.5582311973883e-15,1.14644761832756e-14,-3.06259495303439e-14
"t48",0.0600133490708309,-0.0292610137875047,-0.0387067828404839,-0.00591151799828936,0.0933249391304606,0.164657456738333,0.0165212402748912,0.0105191043640624,0.00766018561092744,-0.0161366141812756,-0.008206160503769,-0.230516447387775,-0.0109217031034943,0.610784454376466,-0.00757005213056638,0.00325710398966027,0.00797698996206359,-0.0198087874205507,0.0625201427511315,-0.016725285816583,0.128153086757422,-0.00195996664656141,1.90314067088296e-05,-9.59696167577893e-05,-0.000107910927647487,0.00184598316373951,0.00172879543772535,-0.000413970751128348,3.00730644058013e-07,5.83542795095107e-06,-2.70616862252382e-16,0.00119392687329384,-0.000384445749370817,5.49186776279119e-06,0.00965024058671951,8.74725475852695e-17,-4.91296722737343e-06,-0.000761162135630297,-6.14220600195496e-05,-0.000327753702238541,0.000259015241159346,0.00077749406055817,0.0121439423386119,3.9305890562633e-05,-0.000507911600855485,0.000649551365464022,-0.000466397398062625,-0.000957726422538009,-0.000434764264882382,-0.000190348269248799,0.000318624620663992,6.47172569755748e-05,-3.87681212496416e-05,0.000195195255292687,-1.99386360771751e-16,6.66903571483932e-16,-4.9891729013082e-16,-2.55456567894226e-05,3.81515891205419e-06,-5.02116305025945e-16,-1.3615012772222e-15,-4.26883078083006e-05,1.09716754149411e-15,-1.33571654770458e-06,-0.000170464055134533,0.00142697922883065,3.76301298504803e-15,-1.55632292970035e-14,-1.13898545294796e-14,0.707106781186548,1.53155985995802e-05,-8.37364830516367e-06,2.03887432186304e-05,-1.51057697681304e-05,-2.42306192407717e-15,1.65998211610874e-15,-3.18760957174755e-16,6.95570481748562e-16,2.53971882649493e-16,2.16376364306603e-05,6.91324104137058e-06,-1.7250186815692e-05,1.98431505477142e-16,2.98044328367845e-16,-1.07160454896286e-15,5.0115121810099e-16,1.99765440784312e-16,-5.18961934033648e-16,0.000108599212979723,-3.69489776070773e-16,-1.18897142398168e-15,-4.35935914384143e-05,-2.74580552844904e-05,1.75359434095578e-15,5.70438684278763e-16,-2.27734327248045e-16,7.95723247069734e-16,-6.99826843400332e-16,-6.80410863125957e-16,2.75055746223639e-15,1.11636039427133e-14,-3.02412240042132e-14
