"","Galium_spurium","Galium_binifolium","Galium_tenuissimum","Galium_bolanderi","Galium_palustre","Galium_bifolium","Galium_album","Galium_lucidum","Galium_sylvaticum","Galium_saxatile","Galium_parisiense","Galium_murale","Galium_triflorum","Cruciata_glabra","Sherardia_arvensis","Rubia_cordifolia","Kelloggia_galioides","Coprosma_robusta","Coprosma_foetidissima","Nertera_dichondrifolia","Opercularia_varia","Oldenlandia_corymbosa","Spermacoce_brachystema","Spermacoce_leptoloba","Psychotria_marginata","Psychotria_limonensis","Psychotria_brachypoda","Psychotria_papantlensis","Psychotria_suterella","Psychotria_flava","Psychotria_tenuifolia","Psychotria_horizontalis","Psychotria_loniceroides","Psychotria_serpens","Rudgea_jasminoides","Palicourea_acuminata","Coussarea_suaveolens","Pavetta_australiensis","Rosenbergiodendron_formosum","Tocoyena_pittieri","Randia_pterocarpa","Randia_hebecarpa","Gardenia_ternifolia","Gardenia_jasminoides","Alibertia_edulis","Coffea_racemosa","Coffea_arabica","Cyclophyllum_coprosmoides","Ixora_congesta","Ixora_peruviana","Ixora_javanica","Pentagonia_macrophylla","Nauclea_officinalis","Neolamarckia_cadamba","Isertia_haenkeana","Guettarda_elliptica","Guettarda_aromatica","Guettarda_divaricata","Timonius_wallichianus","Blepharidium_guatemalense","Exostema_caribaeum","Hintonia_latiflora","Hamelia_patens","Macrocnemum_roseum","Vincetoxicum_hirundinaria","Asclepias_vestita","Asclepias_oenotheroides","Asclepias_albicans","Asclepias_erosa","Asclepias_tuberosa","Asclepias_fascicularis","Asclepias_incarnata","Calotropis_gigantea","Calotropis_procera","Hoya_australis","Mandevilla_benthamii","Wrightia_tinctoria","Tabernaemontana_arborea","Tabernaemontana_siphilitica","Catharanthus_roseus","Vinca_major","Plumeria_rubra","Carissa_macrocarpa","Aspidosperma_megalocarpon","Aspidosperma_polyneuron","Aspidosperma_cylindrocarpon","Aspidosperma_spruceanum","Alstonia_spectabilis","Alstonia_actinophylla","Fagraea_berteroana","Chironia_linoides","Eustoma_exaltatum","Gentianella_parviflora","Gentianella_insubrica","Gentiana_clusii","Gentiana_triflora","Gentiana_scabra","Centaurium_erythraea","Centaurium_tenuiflorum","Blackstonia_perfoliata"
"Galium_parisiense",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,3.839764,0,0.565352,5.468018,12.89551,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_murale",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,4.808044,4.808044,4.808044,3.839764,0.565352,0,5.468018,12.89551,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_triflorum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,5.468018,5.468018,5.468018,5.468018,5.468018,5.468018,0,12.89551,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Cruciata_glabra",12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,12.89551,0,13.736098,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Sherardia_arvensis",13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,13.736098,0,16.378018,19.2795,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Rubia_cordifolia",16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,16.378018,0,19.2795,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Kelloggia_galioides",19.2795,19.2795,19.2795,19.2795,19.2795,19.2795,19.2795,19.2795,19.2795,19.2795,19.2795,19.2795,19.2795,19.2795,19.2795,19.2795,0,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Coprosma_robusta",41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,0,4.175882,8.996978,17.89992,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Coprosma_foetidissima",41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,4.175882,0,8.996978,17.89992,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Nertera_dichondrifolia",41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,8.996978,8.996978,0,17.89992,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Opercularia_varia",41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,17.89992,17.89992,17.89992,0,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Oldenlandia_corymbosa",44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,0,25.247694,25.247694,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Spermacoce_brachystema",44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,0,12.7249,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
