"","Hydnophytum_cordifolium","Guettardella_surigaoensis","Cynanchica_staliana","Galium_fistulosum","Galium_araucanum","Galium_pastorale","Galium_×_prolazense","Galium_coloradoense","Rubia_caramanica","Plocama_trichophylla","Mycetia_tonkinensis","Argostemma_apiculatum","Houstonia_wrightii","Spermacoce_ovalifolia","Galianthe_parvula","Bouvardia_cordifolia","Danais_nigra","Psychotria_peekeliana","Psychotria_foetens","Psychotria_lanceolaria","Psychotria_subcapitata","Psychotria_nubica","Psychotria_jugalis","Psychotria_luteola","Psychotria_orosioides","Psychotria_nuda","Psychotria_niveobarbata","Psychotria_costata","Rudgea_infundibuliformis","Rudgea_verticillata","Palicourea_corniculata","Palicourea_gaertneroides","Palicourea_zakii","Gynochthodes_hupehensis","Gaertnera_hirtiflora","Schradera_pentacme","Faramea_frondosa","Faramea_tenuiflora","Declieuxia_muscosa","Lasianthus_myrtifolius","Lasianthus_puffii","Lasianthus_hirsutus","Urophyllum_strigosum","Ophiorrhiza_flavescens","Ophiorrhiza_pingbienensis","Hyperacanthus_ambovombensis","Benkara_armigera","Benkara_depauperata","Rothmannia_capensis","Aulacocalyx_divergens","Chapelieria_multiflora","Didymosalpinx_norae","Wendlandia_uvariifolia","Augusta_vitiensis","Rytigynia_decussata","Vangueria_schliebenii","Cuviera_subuliflora","Canthium_bugoyense","Canthium_armatum","Canthium_oblongum","Psydrax_lepidus","Ixora_capitulifera","Ixora_coccinea","Mussaenda_mollissima","Hymenodictyon_timoranum","Cinchona_glandulifera","Guettarda_amblyophylla","Chomelia_ecuadorensis","Timonius_montanus","Gonzalagunia_thyrsoidea","Rondeletia_scabrella","Dolicholobium_rufiflorum","Dolicholobium_longifructum","Ephippiocarpa_orientalis","Rhytidocaulon_tortum","Pruskortizia_macrocarpa","Orbea_circes","Leichhardtia_kebarensis","Metastelma_schaffneri","Peplonia_adnata","Orthosia_eichleri","Pachycarpus_mckenii","Pergularia_daemia","Hoya_corneri","Dischidia_rimicola","Mandevilla_semirii","Mandevilla_hirsuta","Parsonsia_wildensis","Voacanga_gracilipes","Lacmellea_guyanensis","Allamanda_doniana","Aspidosperma_quebracho-blanco","Utania_cuspidata","Gentianella_sugawarae","Gentianella_claytonioides","Gentiana_tetraphylla","Mitrasacme_oasena","Spigelia_carnosa","Strychnos_darienensis","Strychnos_umbellata"
"Mycetia_tonkinensis",99.499018,99.499018,99.499018,39.726542,39.726542,39.726542,39.726542,39.726542,39.726542,39.726542,0,24.534758,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Argostemma_apiculatum",99.499018,99.499018,99.499018,39.726542,39.726542,39.726542,39.726542,39.726542,39.726542,39.726542,24.534758,0,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Houstonia_wrightii",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,0,25.247694,25.247694,25.247694,44.032962,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Spermacoce_ovalifolia",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,0,13.729388,18.780078,44.032962,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galianthe_parvula",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,13.729388,0,18.780078,44.032962,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Bouvardia_cordifolia",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,25.247694,18.780078,18.780078,0,44.032962,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Danais_nigra",99.499018,99.499018,99.499018,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.032962,44.032962,44.032962,44.032962,0,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_peekeliana",99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,0,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,34.637442,48.51106,48.51106,48.51106,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_foetens",99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,0,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,34.637442,48.51106,48.51106,48.51106,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_lanceolaria",99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,16.968232,0,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,34.637442,48.51106,48.51106,48.51106,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_subcapitata",99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,16.968232,16.968232,0,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,34.637442,48.51106,48.51106,48.51106,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Psychotria_nubica",99.499018,99.499018,99.499018,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,16.968232,16.968232,16.968232,16.968232,0,16.968232,16.968232,16.968232,16.968232,16.968232,16.968232,30.11448,30.11448,30.11448,30.11448,30.11448,34.637442,34.637442,34.637442,48.51106,48.51106,48.51106,67.782866,67.782866,67.782866,70.409422,70.409422,70.409422,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
